date,AAPL,MSFT,NVDA,ADBE,CSCO,AMZN,F,MCD,PG,KO,WMT,JNJ,PFE,MRK,JPM,BAC,GS,XOM,CVX,COP,GE,MMM,CAT,GOOGL,IBM,NFLX,NEE,AMT,NUE
2022-08-04,163.406,277.696,19.1904,430.59,44.9624,142.57,13.5877,257.769,143.631,62.7641,40.8947,169.549,49.4363,81.0187,111.364,32.9885,327.237,85.6614,148.629,87.9254,58.4207,144.918,182.419,117.764,128.47,229.91,87.113,269.306,133.622
2022-08-05,163.179,276.974,18.9646,433.43,44.5958,140.8,13.5258,256.375,143.7,62.4782,41.224,168.878,48.8513,81.5692,114.733,33.5416,329.998,86.8993,151.088,90.8308,58.9678,144.224,184.158,117.046,129.29,226.78,87.113,270.22,136.001
2022-08-08,162.705,274.436,17.7703,434.34,44.6057,139.41,13.9503,253.972,144.246,62.074,41.5593,167.98,49.1488,82.5769,113.336,33.0774,330.008,87.3906,150.862,91.5939,59.618,145.271,184.575,116.877,129.417,233.49,86.6575,271.024,135.911
2022-08-09,162.755,276.375,17.064,426.57,44.5066,137.83,13.4285,257.195,143.909,62.1528,41.9693,167.96,49.357,83.5382,114.357,33.5021,331.921,89.0018,152.829,93.4329,59.42,144.644,184.794,116.209,127.945,229.94,88.0437,274.181,137.942
2022-08-10,167.018,283.091,18.0739,438.4,45.5965,142.69,13.8394,258.481,145.269,62.7443,42.0573,168.444,49.5255,83.2303,117.34,34.6379,343.053,89.8467,153.232,93.8928,61.1723,146.152,189.452,119.268,129.951,244.11,88.8952,275.779,140.828
2022-08-11,166.279,280.995,17.9191,434.89,45.4776,140.64,14.1339,256.424,144.236,62.3204,42.463,164.959,47.8796,82.9876,119.075,35.4675,346.771,92.4458,156.969,98.1775,62.568,146.425,192.711,118.411,130.978,242.7,88.5487,271.967,141.236
2022-08-12,169.84,285.784,18.6851,445.67,46.181,143.55,14.4465,259.293,145.636,62.7936,43.248,163.144,49.6842,84.938,121.047,35.8528,348.881,93.2493,157.195,100.516,63.3848,148.95,195.532,121.241,132.431,249.3,89.5785,275.71,142.222
2022-08-15,170.916,287.31,19.0075,451.02,46.1612,143.18,14.5713,262.517,147.513,63.5822,43.3727,163.923,49.3272,84.5459,121.374,35.8034,350.882,91.5827,154.205,99.0219,63.2897,148.157,194.648,121.639,133.34,249.11,90.1032,279.482,141.207
2022-08-16,170.759,286.565,18.8548,447.56,46.3396,144.78,14.6697,263.357,148.873,64.1047,45.587,165.385,49.4363,84.5367,122.534,36.1886,350.015,90.7296,153.812,98.3635,64.2889,147.013,196.207,121.26,134.951,245.69,89.6379,276.434,141.983
2022-08-17,172.259,285.811,18.3115,437.82,46.2306,142.1,14.3126,263.881,148.188,63.9568,45.636,165.394,48.8513,84.9567,121.503,35.9615,348.802,91.4637,155.08,99.6017,63.3769,144.243,194.628,119.118,136.167,241.15,89.3111,275.451,139.813
2022-08-18,171.864,284.684,18.7491,439.03,48.9156,142.3,14.4195,263.644,148.715,64.2919,45.4887,164.595,48.1672,85.2925,120.561,35.833,349.57,93.6263,157.799,103.06,62.8138,143.51,196.038,119.736,137.431,245.17,89.3507,273.496,141.873
2022-08-19,169.27,280.739,17.8262,425.055,48.2518,138.23,14.1786,263.604,148.675,64.2427,44.8183,167.101,48.7323,85.9272,117.578,35.0429,344.394,93.3287,156.48,103.316,61.6323,143.519,194.3,116.787,136.74,241.16,88.8259,272.424,137.524
2022-08-22,165.369,272.498,17.012,411.35,47.2709,133.22,13.4643,260.053,148.278,63.2865,44.0173,166.515,48.4844,85.0686,115.635,34.2922,337.64,93.2592,155.696,103.415,59.3009,139.951,190.485,113.828,133.953,226.54,87.6675,267.797,134.777
2022-08-23,165.034,271.211,17.159,410.41,46.9737,133.62,13.6785,257.671,145.418,63.3555,43.8307,165.065,47.602,84.1728,114.496,33.9861,335.431,97.2174,160.747,106.569,60.3476,140.109,195.899,113.448,133.152,224.55,87.113,263.31,136.817
2022-08-24,165.33,270.575,17.2,405.65,46.6368,133.8,13.8571,257.987,144.792,63.4442,44.1473,164.518,47.0269,83.9954,114.773,34.0947,337.167,97.7927,161.937,108.603,60.8551,139.408,192.869,113.28,131.66,229.61,87.8358,262.565,137.484
2022-08-25,167.798,273.576,17.8901,403.93,46.835,137.28,14.2232,259.669,144.673,63.7498,44.442,166.058,47.4929,84.2381,117.499,34.7071,341.653,98.2987,163.356,110.136,61.9654,141.108,197.558,116.229,132.401,233.98,88.5091,266.298,143.536
2022-08-26,161.471,263.021,16.2392,381.02,45.4677,130.75,13.759,254.12,141.287,62.212,43.0453,163.217,46.4221,83.2955,113.653,33.6108,331.704,97.0884,162.156,110.175,59.6895,127.645,190.644,109.942,128.844,223.28,87.1922,259.299,139.853
2022-08-29,159.261,260.215,15.7808,375.26,45.2893,129.79,13.9016,252.844,140.692,61.8374,43.4643,161.955,45.8371,81.7371,113.376,33.4823,329.259,99.3204,163.366,111.452,60.308,124.977,190.505,109.025,128.775,224.57,86.5803,257.84,138.907
2022-08-30,156.824,257.997,15.4481,375.07,44.8236,128.73,13.7947,250.698,139.192,61.2657,43.333,161.388,45.4604,81.0745,113.395,33.6701,328.973,95.5409,159.387,108.583,59.5785,123.415,185.697,108.547,128.053,220.65,85.267,251.566,134.568
2022-08-31,155.156,256.527,15.0747,373.44,44.3084,126.77,13.6071,250.867,136.968,60.8319,43.356,160.305,44.8456,79.6563,112.721,33.1959,330.503,94.8266,156.847,107.551,58.2383,122.911,183.482,107.829,126.937,223.56,84.6302,252.211,132.318
2022-09-01,155.886,255.476,13.9192,370.53,44.8732,127.82,13.5624,255.034,138.656,61.1177,43.9873,164.28,46.2337,81.3264,113.495,33.2755,331.327,93.1204,154.346,105.664,57.9527,124.176,181.227,109.344,128.132,230.04,85.8241,255.775,129.79
2022-09-02,153.765,251.216,13.6296,368.14,44.1796,127.51,13.5357,253.085,136.193,60.2799,43.5033,161.696,45.3116,80.468,112.702,33.2357,329.32,94.8266,156.638,108.347,57.4373,120.242,179.628,107.46,126.284,226.11,84.6799,249.034,130.168
2022-09-06,152.5,248.461,13.4478,368.3,44.0607,126.11,13.4197,252.965,134.674,60.3095,43.2877,162.133,45.3711,80.6453,112.731,32.8678,324.363,94.1917,155.914,106.745,57.2232,115.251,179.459,106.425,125.227,218.39,86.9285,252.34,133.821
2022-09-07,153.913,253.21,13.7007,379.72,44.6057,129.48,13.7768,256.973,136.71,61.4234,44.3993,163.018,45.738,81.0653,114.872,33.3749,328.406,93.3882,153.919,104.908,58.3493,119.155,179.658,109.055,126.205,228.96,89.784,257.622,134.976
2022-09-08,152.432,253.63,13.9762,383.63,44.9525,129.82,13.8125,258.623,136.889,61.2361,44.6253,164.329,46.6799,81.5786,117.548,34.4486,333.195,94.1521,154.753,106.441,58.4999,117.89,181.933,107.989,126.956,227.44,89.8139,259.776,138.768
2022-09-09,155.303,259.458,14.3728,394.78,45.3488,133.27,13.7677,258.067,138.974,61.4332,44.7593,164.647,47.4335,81.5037,118.113,34.7369,337.884,95.7294,158.742,110.028,58.714,121.675,188.231,110.251,127.668,233.57,89.4457,259.696,142.889
2022-09-12,161.284,261.608,14.4907,396.36,45.973,136.45,13.875,258.912,140.106,61.6106,45.162,164.578,47.3541,82.2693,119.511,35.065,340.348,96.8305,161.253,112.405,59.7292,122.812,191.121,110.459,129.121,236.53,90.3511,263.171,141.057
2022-09-13,151.819,247.224,13.118,368.39,43.704,126.82,13.1608,252.906,137.206,59.6095,44.2293,160.295,45.7975,80.5146,115.358,33.8024,326.25,94.5687,158.186,110.381,56.1765,119.076,183.085,103.943,125.751,218.13,88.411,252.787,135.464
2022-09-14,153.27,247.451,13.115,371.52,43.5554,128.55,13.0893,254.288,137.534,59.925,44.131,163.604,45.7578,81.7942,115.09,33.6731,325.128,96.89,162.017,115.668,55.5342,116.17,183.423,104.621,126.186,224.12,88.4309,249.997,120.146
2022-09-15,150.369,240.739,12.9163,309.13,42.8916,126.28,13.2946,252.05,136.471,59.1108,43.6573,164.021,45.5496,81.606,116.825,34.3094,329.459,94.0727,159.387,113.555,54.646,115.073,181.277,102.538,124.011,235.38,85.5754,243.286,116.722
