date,ROE_Adj,ROA_Adj,Net_Profit_Margin,Current_Ratio,Debt_to_Equity,Net_Debt_EBITDA,Free_Cash_Flow,Cash_ROIC,Piotroski_F,EPS
2018-06-30,0.07618,0.04373,0.30208,2.07604,0.7418,-5.75601,821.737,0.07187,9.0,1.34814
2018-09-30,0.07519,0.04328,0.29082,1.66162,0.73728,-3.81109,832.434,0.07174,8.0,1.35971
2018-12-31,0.07247,0.03615,0.27528,1.12925,1.00475,1.08402,981.847,0.06787,6.0,1.38957
2019-03-31,0.0683,0.03457,0.25923,0.96612,0.97595,1.07574,871.318,0.05776,5.0,1.38148
2019-06-30,0.06369,0.03217,0.23051,0.69501,0.98012,0.7313,944.216,0.06243,6.0,1.29753
2019-09-30,0.07742,0.03954,0.27982,0.73691,0.95795,0.43048,733.115,0.0476,6.0,1.6322
2019-12-31,0.08082,0.04099,0.28443,0.79294,0.9717,-0.03359,1293.0,0.07982,7.0,1.75926
2020-02-29,0.09126,0.04502,0.30896,1.2347,1.02714,-0.05084,1229.695301,0.07692,8.0,1.98133
2020-05-31,0.10109,0.05092,0.35166,1.28757,0.98539,-0.19684,1089.962385,0.0663,7.0,2.2869
2020-08-31,0.08153,0.04261,0.29612,1.43996,0.9136,-0.91111,1281.0,0.07411,7.0,1.98133
2020-11-30,0.17061,0.09319,0.65713,1.47787,0.83082,-0.90736,1679.286614,0.08713,7.0,4.67775
2021-02-28,0.09309,0.05047,0.32292,1.27179,0.84446,-0.15231,1687.964726,0.08549,9.0,2.63257
2021-05-31,0.08057,0.04362,0.291,1.31456,0.84681,-0.66682,1895.338927,0.09418,8.0,2.32985
2021-08-31,0.08408,0.04636,0.30801,1.39218,0.81379,-0.89756,1310.186364,0.064,8.0,2.54088
2021-11-30,0.08441,0.04585,0.3,1.25058,0.84098,-0.66817,1968.607505,0.09408,7.0,2.58491
2022-02-28,0.09125,0.04839,0.29704,1.03877,0.88574,-0.01591,1667.287892,0.08389,5.0,2.67653
2022-05-31,0.08366,0.04444,0.26858,1.07082,0.88245,-0.36748,1918.391726,0.09568,7.0,2.49049
2022-08-31,0.07862,0.04225,0.25626,1.1413,0.86071,-0.66165,1582.519857,0.07783,6.0,2.42217
2022-11-30,0.08398,0.04344,0.25989,1.09868,0.93331,-0.78599,2230.891282,0.11101,6.0,2.50213
2023-02-28,0.08785,0.0468,0.26788,1.12169,0.87716,-0.82486,1594.534978,0.0803,7.0,2.71678
2023-05-31,0.08761,0.0467,0.2689,1.1565,0.87613,-1.31833,2022.342381,0.0983,9.0,2.82751
2023-08-31,0.08931,0.04844,0.28691,1.2491,0.84394,-1.71908,1782.567681,0.08355,9.0,3.07675
2023-11-30,0.09002,0.04993,0.29378,1.34271,0.80282,-1.82368,1548.198629,0.06979,8.0,3.25934
2024-02-29,0.08056,0.04332,0.11964,1.04752,0.8597,-2.25598,1137.092821,0.05326,7.0,1.36865
2024-05-31,0.10625,0.05255,0.29629,1.16581,1.02163,-0.89811,1897.819753,0.08316,8.0,3.50334
2024-08-31,0.1166,0.05686,0.31139,1.1094,1.05088,-0.61946,1966.449728,0.08841,7.0,3.78427
2024-11-30,0.12031,0.05614,0.30021,1.06591,1.14321,-0.8102,2869.054859,0.12976,7.0,3.81633
2025-02-28,0.13876,0.06066,0.31694,1.10777,1.28751,-0.53782,2856.0,0.14169,8.0,4.15367
