date,ROE_Adj,ROA_Adj,Net_Profit_Margin,Current_Ratio,Debt_to_Equity,Net_Debt_EBITDA,Free_Cash_Flow,Cash_ROIC,Piotroski_F,EPS
2018-06-30,0.04298,0.00924,0.17222,0.46617,3.65333,20.28573,931.1,0.02962,4.0,0.69468
2018-09-30,0.0533,0.01109,0.20549,0.53213,3.80529,19.84992,739.6,0.0236,6.0,0.83218
2018-12-31,0.03973,0.00831,0.13021,0.50856,3.78107,17.27676,661.800002,0.0213,7.0,0.6296
2019-03-31,0.06122,0.01021,0.21915,0.46744,4.99861,19.1872,615.7,0.01682,5.0,0.90042
2019-06-30,0.06136,0.01042,0.22709,0.463,4.89039,17.53699,1044.9,0.02848,6.0,0.97037
2019-09-30,0.07827,0.01268,0.25522,0.49338,5.17077,17.18982,868.9,0.02351,6.0,1.12611
2019-12-31,0.08543,0.01315,0.29251,0.46537,5.49799,20.29898,712.8,0.01771,5.0,1.27032
2020-03-31,0.08259,0.00933,0.20822,0.48597,7.85564,19.23034,761.0,0.01988,6.0,0.93668
2020-06-30,0.09692,0.01075,0.23319,0.54275,8.0201,20.22082,917.700001,0.02357,5.0,1.00601
2020-09-30,0.09005,0.0103,0.23071,0.87337,7.73992,18.39261,937.3,0.02405,5.0,1.0465
2020-12-31,0.07637,0.00773,0.17201,0.79486,8.88045,23.83488,817.2,0.01842,5.0,0.82174
2021-03-31,0.13606,0.01319,0.29882,0.72001,9.31295,20.28804,1018.399998,0.0231,6.0,1.45111
2021-06-30,0.10612,0.01265,0.32463,0.56383,7.38683,23.97123,937.800001,0.01685,6.0,1.65574
2021-09-30,0.07463,0.01194,0.29459,0.77281,5.24768,21.03565,2024.8,0.03608,5.0,1.58823
2021-12-31,0.04861,0.00631,0.18542,0.4113,6.70573,32.51027,470.8,0.0072,4.0,0.96375
2022-03-31,0.07693,0.0102,0.26753,0.40773,6.54143,26.94717,498.5,0.00758,3.0,1.56245
2022-06-30,0.08374,0.01319,0.33586,0.4993,5.35051,24.10324,824.5,0.01283,5.0,1.95782
2022-09-30,0.06813,0.01262,0.31432,0.5676,4.39938,23.34449,759.5,0.01207,4.0,1.8035
2022-12-31,,,,0.4358,4.4152,,,,,
2023-03-31,0.02741,0.00503,0.12135,0.45805,4.45437,23.40511,866.7,0.01373,6.0,0.721
2023-06-30,0.03959,0.00711,0.17163,0.53156,4.56991,22.44943,988.6,0.01565,6.0,1.02062
2023-09-30,,,,0.5605,4.84387,,,,,
2023-12-31,,,,0.51177,5.07687,,,,,
2024-03-31,,,,0.62999,5.25407,,,,,
2024-06-30,0.08637,0.01367,0.31042,0.28166,5.31629,,,,,1.92768
2024-09-30,,,,0.48088,5.1628,,,,,
2024-12-31,,,,0.22785,5.33012,,,,,
2025-03-31,,,,0.2646,5.24534,,,,,
