date,ROE_Adj,ROA_Adj,Net_Profit_Margin,Current_Ratio,Debt_to_Equity,Net_Debt_EBITDA,Free_Cash_Flow,Cash_ROIC,Piotroski_F,EPS
2018-06-30,0.04888,0.02214,0.19285,1.74872,1.20793,2.44587,2949.0,0.04727,8.0,1.39887
2018-09-30,0.05692,0.02588,0.19695,1.98933,1.19945,2.07068,3487.0,0.05513,8.0,1.60013
2018-12-31,0.1052,0.0482,0.17117,1.795,1.18251,1.54103,5225.0,0.08334,9.0,1.62323
2019-03-31,0.05285,0.02438,0.20033,1.85658,1.16785,2.3126,2958.0,0.04605,9.0,1.60865
2019-06-30,0.04632,0.0215,0.19867,1.75634,1.15459,2.41511,2176.0,0.03488,7.0,1.4032
2019-09-30,0.1367,0.06848,0.36784,2.56092,0.99608,1.94996,4156.0,0.06442,7.0,2.75674
2019-12-31,0.01207,0.006,0.08935,2.40139,1.01181,2.04125,2674.0,0.04206,7.0,0.65752
2020-03-31,-0.07334,-0.0354,-0.35834,2.16362,1.07197,13.92456,62.0,0.00105,4.0,-1.60341
2020-06-30,0.02724,0.01361,0.07602,2.69257,1.00191,10.35249,-105.0,-0.00178,5.0,0.24149
2020-09-30,-0.01478,-0.0072,-0.10267,2.38341,1.05168,7.92225,-436.0,-0.00739,3.0,-0.41768
2020-12-31,-0.03571,-0.01702,-0.12758,2.2486,1.09783,9.01233,-384.0,-0.00664,3.0,-0.71656
2021-03-31,0.02822,0.01455,0.0951,2.03424,0.93936,3.60363,3133.0,0.04058,6.0,0.72814
2021-06-30,0.04851,0.02515,0.20597,2.10699,0.92888,2.1623,5269.0,0.06716,7.0,1.55045
2021-09-30,0.05599,0.02829,0.20484,1.93138,0.97901,1.6992,6624.0,0.08517,7.0,1.764
2021-12-31,0.04526,0.02267,0.16657,1.33516,0.99667,2.09778,8279.0,0.10369,6.0,1.98385
2022-03-31,0.13357,0.07045,0.31174,1.5129,0.89581,1.28754,8364.0,0.10096,7.0,4.34906
2022-06-30,0.10767,0.05769,0.2368,1.54388,0.86632,0.93193,10673.0,0.12992,7.0,3.95183
2022-09-30,0.09138,0.04729,0.20906,1.46124,0.93233,0.6845,11876.0,0.14571,7.0,3.50987
2022-12-31,0.06885,0.03522,0.16901,1.45941,0.95465,1.02649,6918.0,0.08499,7.0,2.45357
2023-03-31,0.05918,0.03093,0.18945,1.39496,0.91367,1.16545,5492.0,0.06763,5.0,2.39463
2023-06-30,0.04694,0.0249,0.17322,1.41401,0.88519,1.74597,3115.0,0.03849,6.0,1.84853
2023-09-30,0.05695,0.02903,0.18821,1.66193,0.96148,1.47432,5444.0,0.06466,6.0,2.33821
2023-12-31,0.06975,0.03583,0.19942,1.43228,0.94655,1.93488,4535.0,0.05213,5.0,2.53388
2024-03-31,0.0536,0.02773,0.17736,1.35009,0.93306,2.02259,4511.0,0.05227,5.0,2.16568
2024-06-30,0.04603,0.02386,0.1647,1.3303,0.92972,1.97771,4455.0,0.05122,6.0,1.99367
2024-09-30,0.03967,0.02047,0.15135,1.37936,0.93859,1.9625,5206.0,0.05924,6.0,1.77299
2024-12-31,0.03937,0.02078,0.15702,1.29058,0.89487,3.16806,2177.0,0.01949,4.0,1.90856
2025-03-31,0.04487,0.02356,0.16737,1.26836,0.90463,2.24393,6897.0,0.06184,5.0,2.23741
