date,ROE_Adj,ROA_Adj,Net_Profit_Margin,Current_Ratio,Debt_to_Equity,Net_Debt_EBITDA,Free_Cash_Flow,Cash_ROIC,Piotroski_F,EPS
2018-06-30,-0.01158,-0.00887,0.09784,4.15199,0.30623,-10.08963,8782.0,0.04833,6.0,0.22988
2018-09-30,0.05412,0.04149,0.27244,4.1437,0.30439,-9.80379,5945.0,0.03125,7.0,0.66069
2018-12-31,0.05037,0.03844,0.22782,3.91901,0.31056,-8.92504,6248.0,0.03153,7.0,0.64352
2019-03-31,0.02703,0.02022,0.18319,3.95895,0.33726,-10.20632,8699.0,0.04134,5.0,0.47901
2019-06-30,0.05176,0.03869,0.25542,3.98478,0.33773,-9.90869,7109.0,0.0323,6.0,0.71667
2019-09-30,0.03625,0.02687,0.17452,3.78233,0.34916,-9.83248,8422.0,0.03763,6.0,0.51015
2019-12-31,0.05297,0.03868,0.2316,3.37405,0.36967,-9.32305,5107.0,0.02214,6.0,0.7746
2020-03-31,0.03357,0.025,0.16609,3.65817,0.34245,-10.31749,2834.0,0.01215,4.0,0.49791
2020-06-30,0.03357,0.02499,0.18171,3.41447,0.34328,-12.2437,7815.0,0.03328,5.0,0.51036
2020-09-30,0.05282,0.03758,0.24358,3.41015,0.40542,-8.18466,11964.0,0.04766,5.0,0.82766
2020-12-31,0.06842,0.04764,0.26762,3.06676,0.43619,-6.39719,18875.0,0.07183,6.0,1.12695
2021-03-31,0.07795,0.05482,0.32415,3.1042,0.42207,-6.39263,15140.0,0.05574,7.0,1.33166
2021-06-30,0.07798,0.05523,0.29937,3.15202,0.41177,-5.50156,19184.0,0.0686,7.0,1.38462
2021-09-30,0.07743,0.05451,0.2908,2.97999,0.42048,-5.29586,24231.0,0.08484,8.0,1.42214
2021-12-31,0.08203,0.05746,0.27404,2.92811,0.42773,-5.24108,18970.0,0.0643,8.0,1.57549
2022-03-31,0.06471,0.04603,0.24167,2.871,0.40587,-5.03183,17294.0,0.05859,7.0,1.24015
2022-06-30,0.06265,0.04505,0.22963,2.80945,0.3906,-4.76277,15118.0,0.05145,6.0,1.21846
2022-09-30,0.05484,0.03883,0.20133,2.5176,0.41253,-4.82276,16911.0,0.05786,5.0,1.06852
2022-12-31,0.05319,0.0373,0.17915,2.37799,0.42601,-4.85284,16630.0,0.05619,4.0,0.97261
2023-03-31,0.05769,0.04073,0.21567,2.35259,0.41625,-5.05761,18288.0,0.06083,5.0,1.17761
2023-06-30,0.06876,0.04795,0.24621,2.17205,0.43386,-4.24244,24245.0,0.0794,8.0,1.44995
2023-09-30,0.07207,0.04963,0.25672,2.04311,0.45208,-4.33034,20084.0,0.0647,8.0,1.56498
2023-12-31,0.073,0.05141,0.23968,2.09658,0.41998,-3.6666,9448.0,0.02947,7.0,1.6443
2024-03-31,0.0808,0.05809,0.2938,2.14906,0.39101,-3.28413,19063.0,0.0577,8.0,1.88077
2024-06-30,0.07853,0.05694,0.27872,2.07918,0.37911,-2.81011,16609.0,0.04931,8.0,1.87735
2024-09-30,0.08373,0.06113,0.29797,1.94969,0.36975,-2.48979,21061.0,0.06027,7.0,2.09053
2024-12-31,0.08163,0.05894,0.27507,1.83693,0.38505,-2.40993,29724.0,0.08231,7.0,2.10921
2025-03-31,0.10004,0.07266,0.38278,1.76808,0.37683,-2.40623,27383.0,0.07136,6.0,2.74541
