date,ROE_Adj,ROA_Adj,Net_Profit_Margin,Current_Ratio,Debt_to_Equity,Net_Debt_EBITDA,Free_Cash_Flow,Cash_ROIC,Piotroski_F,EPS
2018-06-30,0.02711,0.00242,0.24973,,10.185,110.37137,8639.0,0.00892,,6.05467
2018-09-30,0.02827,0.00256,0.28372,,10.03236,118.88542,-5868.0,-0.00613,,6.36482
2018-12-31,0.02575,0.00249,0.27215,,9.33205,173.4846,-12562.0,-0.01348,,6.1218
2019-03-31,0.02417,0.00236,0.24776,,9.25056,183.63524,-45659.0,-0.04934,,5.74513
2019-06-30,0.02418,0.00233,0.23232,,9.39589,164.08763,9624.0,0.01019,,5.86916
2019-09-30,0.01949,0.00178,0.21543,,9.9477,214.30183,9081.0,0.00902,,4.84595
2019-12-31,0.0191,0.00174,0.17318,,10.00059,137.40395,-44475.0,-0.04479,,4.76112
2020-03-31,0.01216,0.00103,0.12845,,10.79658,366.16246,-2289.0,-0.0021,,3.13687
2020-06-30,0.00219,0.00017,0.01482,,11.6795,350.02737,12288.0,0.01076,,0.55384
2020-09-30,0.03489,0.00286,0.29988,,11.21866,126.24481,-22866.0,-0.0202,,9.08401
2020-12-31,0.04547,0.00375,0.37152,,11.12346,72.55887,5856.0,0.00504,,12.25281
2021-03-31,0.06872,0.00516,0.37907,,12.32679,54.30436,52359.0,0.04023,,18.81941
2021-06-30,0.05248,0.00385,0.34748,,12.62177,64.8038,23406.0,0.01686,,14.99439
2021-09-30,0.04971,0.00366,0.3883,,12.57734,69.75473,-4862.0,-0.00337,,15.17083
2021-12-31,-0.0082,-0.00062,0.30137,,12.31794,44.24993,17537.0,0.01198,,10.98961
2022-03-31,0.03324,0.00241,0.29622,,12.79256,97.58877,50672.0,0.03188,,10.90831
2022-06-30,0.02364,0.00174,0.23483,,12.58455,122.28099,36502.0,0.0228,,7.84789
2022-09-30,0.02483,0.0019,0.24735,,12.04379,103.65988,-44666.0,-0.02871,,8.34366
2022-12-31,-0.03522,-0.00286,0.11187,,11.30319,54.51447,71530.0,0.04961,,3.64391
2023-03-31,0.01431,0.00109,0.25254,,12.09133,83.60851,-100759.0,-0.0655,,8.90652
2023-06-30,-0.0027,-0.0002,0.0983,,12.4891,107.88865,-10821.0,-0.00689,,3.12883
2023-09-30,0.00367,0.00027,0.15926,,12.4481,165.65944,-32854.0,-0.02083,,5.55654
2023-12-31,0.00352,0.00025,0.16496,,13.04212,133.66682,-19027.0,-0.01159,,5.56317
2024-03-31,0.02053,0.00143,0.27658,,13.32727,88.72042,-26415.0,-0.01555,,11.71335
2024-06-30,0.01035,0.00075,0.22708,,12.83954,101.34041,-2858.0,-0.00173,,8.76592
2024-09-30,0.0089,0.00062,0.21891,,13.25809,116.24108,-42803.0,-0.02477,,8.55911
2024-12-31,0.01681,0.00122,0.28286,,12.73793,80.23312,1559.0,0.00093,,12.17567
2025-03-31,0.02199,0.00155,0.30428,,13.20902,79.85493,11911.0,0.00674,,14.28616
