date,ROE_Adj,ROA_Adj,Net_Profit_Margin,Current_Ratio,Debt_to_Equity,Net_Debt_EBITDA,Free_Cash_Flow,Cash_ROIC,Piotroski_F,EPS
2018-07-31,0.06197,0.02508,0.18982,1.65301,1.47046,1.9265,9069.0,0.06946,7.0,1.47411
2018-10-31,0.04209,0.01747,0.19334,1.72009,1.40929,1.5982,5949.0,0.04575,7.0,1.46616
2019-01-31,0.04984,0.01947,0.14916,1.474,1.55981,1.81304,10142.0,0.08145,8.0,1.1358
2019-04-30,0.04788,0.01882,0.18725,1.44231,1.54477,1.97913,4659.0,0.03799,5.0,1.40897
2019-07-31,0.09131,0.03578,0.27269,1.33317,1.5519,1.98735,11058.0,0.08812,6.0,2.11385
2019-10-31,0.02893,0.01083,0.08457,1.26082,1.67172,1.48017,12116.0,0.09878,6.0,0.66522
2020-01-31,0.06568,0.02476,0.19328,1.25887,1.65218,1.36554,5967.0,0.04853,7.0,1.52361
2020-03-31,0.09361,0.03702,0.28012,1.31277,1.52907,1.25892,4168.0,0.03374,6.0,2.20071
2020-07-31,0.05651,0.02247,0.19775,1.24801,1.51485,1.94691,3799.0,0.02993,4.0,1.37719
2020-09-30,0.05193,0.01961,0.16858,1.48217,1.64751,0.91119,10245.0,0.07482,7.0,1.35005
2020-12-31,0.02593,0.00938,0.07733,1.20578,1.7639,1.64938,10427.0,0.07722,4.0,0.66031
2021-03-31,0.09333,0.03561,0.27763,1.28342,1.62109,1.05292,6069.0,0.04496,4.0,2.35484
2021-06-30,0.08942,0.03526,0.2693,1.38863,1.53579,1.00988,4475.0,0.03176,6.0,2.38562
2021-09-30,0.03852,0.0151,0.15713,1.34398,1.55049,0.34517,11406.0,0.08237,6.0,1.39292
2021-12-31,0.06344,0.0258,0.4848,1.34832,1.45894,0.66677,533.0,0.00379,8.0,1.79898
2022-03-31,0.05982,0.02506,0.2198,1.39258,1.38733,0.33671,5570.0,0.04,5.0,1.95808
2022-06-30,0.06193,0.02661,0.20042,1.42449,1.32754,0.00366,8067.0,0.05879,6.0,1.83069
2022-09-30,0.05916,0.0252,0.35367,1.4324,1.34754,-0.38776,4936.0,0.03683,8.0,1.6953
2022-12-31,0.0426,0.01746,0.17654,0.9909,1.43969,2.63925,4905.0,0.03398,6.0,1.34311
2023-03-31,-0.00349,-0.00126,-0.00325,1.0665,1.76523,3.66218,8331.0,0.05425,4.0,-0.0261
2023-06-30,0.06542,0.02608,0.23904,1.11809,1.50868,2.16637,5296.0,0.03549,4.0,1.97943
2023-09-30,0.36031,0.15455,1.92972,1.21034,1.3314,1.05828,4581.0,0.03648,7.0,10.80891
2023-12-31,0.05722,0.02348,0.18925,1.15585,1.43636,1.04146,8860.0,0.07104,7.0,1.60563
2024-03-31,0.04414,0.01797,0.15222,1.16987,1.45596,0.93991,7202.0,0.05465,9.0,1.35163
2024-06-30,0.06297,0.02488,0.20876,1.07202,1.53135,1.94393,7873.0,0.05746,6.0,1.94698
2024-09-30,0.03781,0.01488,0.11989,1.02879,1.54122,2.23195,8357.0,0.0638,5.0,1.11914
2024-12-31,0.04717,0.01872,0.15235,1.11073,1.51929,2.18747,5876.0,0.04328,5.0,1.42543
2025-03-31,0.1406,0.0567,0.5024,1.25742,1.4795,1.69,-1220.0,-0.0081,6.0,4.56921
