date,ROE_Adj,ROA_Adj,Net_Profit_Margin,Current_Ratio,Debt_to_Equity,Net_Debt_EBITDA,Free_Cash_Flow,Cash_ROIC,Piotroski_F,EPS
2018-06-30,0.06432,0.05655,0.38591,10.67088,0.13742,-6.13441,3061.0,0.03575,6.0,1.76373
2018-09-30,0.06394,0.05556,0.37423,8.99799,0.15073,-5.98229,4506.0,0.0518,5.0,1.78059
2018-12-31,0.08178,0.07068,0.40676,7.19396,0.15699,-4.54549,4252.0,0.04708,6.0,2.39388
2019-03-31,0.02808,0.02219,0.16111,5.37949,0.2654,-9.68386,6213.0,0.0624,5.0,0.85049
2019-06-30,0.02947,0.02236,0.15492,4.46575,0.3182,-7.93016,7897.0,0.07591,5.0,0.91629
2019-09-30,0.0648,0.04896,0.34506,4.65779,0.32361,-6.07708,6654.0,0.0599,5.0,2.1342
2019-12-31,0.07272,0.0551,0.34859,4.39946,0.31985,-5.31232,7438.0,0.06286,4.0,2.57769
2020-03-31,0.04655,0.03543,0.27637,4.6021,0.31401,-8.04927,7575.0,0.06143,5.0,1.7194
2020-06-30,0.04688,0.03707,0.27709,6.02494,0.26478,-7.59619,408.0,0.00318,4.0,1.81684
2020-09-30,0.06664,0.05358,0.36544,5.50896,0.24383,-5.71165,6398.0,0.04757,5.0,2.75298
2020-12-31,0.08745,0.07042,0.39965,5.05106,0.24184,-4.23241,11349.0,0.07863,6.0,3.93235
2021-03-31,0.07106,0.05808,0.36288,6.08021,0.22345,-4.81041,9675.0,0.06416,6.0,3.33579
2021-06-30,0.0752,0.06092,0.35746,5.42537,0.23427,-4.46457,9970.0,0.06402,6.0,3.66631
2021-09-30,0.06894,0.05421,0.31693,4.23428,0.27163,-4.67668,10858.0,0.07154,6.0,3.26724
2021-12-31,0.08236,0.06196,0.30546,3.15429,0.32918,-3.28776,14264.0,0.09847,5.0,3.72645
2022-03-31,0.06058,0.04546,0.26749,2.81063,0.33264,-4.10955,9549.0,0.06671,4.0,2.69982
2022-06-30,0.05317,0.03939,0.23201,2.52001,0.34995,-3.9169,4751.0,0.0322,5.0,2.473
2022-09-30,0.03542,0.02457,0.15858,2.57041,0.4416,-4.06353,233.0,0.00149,4.0,1.6387
2022-12-31,0.03701,0.02505,0.14466,2.2034,0.47739,-3.51168,3214.0,0.02025,4.0,1.79168
2023-03-31,0.04575,0.03094,0.1993,2.06781,0.47835,-2.82166,7097.0,0.0446,5.0,2.2068
2023-06-30,0.05811,0.03768,0.24338,2.32479,0.54207,-2.91835,10917.0,0.06176,5.0,3.03271
2023-09-30,0.08107,0.05356,0.33922,2.56716,0.51375,-2.57361,11553.0,0.0622,7.0,4.49651
2023-12-31,0.09151,0.06104,0.34946,2.67099,0.49916,-2.40427,13483.0,0.06821,7.0,5.46472
2024-03-31,0.08272,0.05551,0.3393,2.68069,0.49031,-2.31113,12829.0,0.06588,7.0,4.86012
2024-06-30,0.08589,0.05848,0.34463,2.83036,0.4687,-2.14732,11211.0,0.05516,8.0,5.31373
2024-09-30,0.09535,0.06118,0.38651,2.73228,0.55844,-1.96833,17323.0,0.07765,7.0,6.20324
2024-12-31,0.1141,0.07549,0.43067,2.97788,0.51149,-1.76067,15609.0,0.06438,7.0,8.24288
2025-03-31,0.08995,0.0594,0.39334,2.66235,0.51443,-1.92967,10811.0,0.04389,6.0,6.58647
