date,ROE_Adj,ROA_Adj,Net_Profit_Margin,Current_Ratio,Debt_to_Equity,Net_Debt_EBITDA,Free_Cash_Flow,Cash_ROIC,Piotroski_F,EPS
2018-06-30,0.10727,0.03428,0.29493,2.9008,2.12928,-4.46126,3993.0,0.01954,7.0,1.15474
2018-09-30,0.10264,0.03425,0.3034,2.91762,1.99672,-4.66307,14404.0,0.0693,7.0,1.15001
2018-12-31,0.09139,0.03253,0.25931,3.11765,1.80978,-4.11175,10243.0,0.0483,8.0,1.09464
2019-03-31,0.09286,0.03346,0.28815,2.96851,1.77535,-4.41079,13387.0,0.062,8.0,1.1482
2019-06-30,0.12887,0.04602,0.39111,2.52884,1.80031,-4.0212,10996.0,0.04939,8.0,1.72266
2019-09-30,0.10068,0.03828,0.32304,2.85447,1.63014,-4.28824,16245.0,0.07257,8.0,1.39874
2019-12-31,0.1058,0.04119,0.31564,2.80137,1.56831,-3.78174,10729.0,0.04677,7.0,1.52854
2020-03-31,0.0939,0.03767,0.30702,2.90434,1.49298,-4.41285,16867.0,0.07318,8.0,1.41436
2020-06-30,0.09469,0.03718,0.29453,2.51577,1.54692,-4.20259,16637.0,0.07083,6.0,1.47725
2020-09-30,0.11259,0.04616,0.37393,2.52765,1.43939,-4.01841,17325.0,0.07297,8.0,1.83624
2020-12-31,0.11873,0.05084,0.35897,2.57791,1.33528,-3.38285,12455.0,0.05113,7.0,2.04672
2021-03-31,0.11492,0.05004,0.37062,2.29405,1.29641,-3.26181,19374.0,0.07847,8.0,2.05027
2021-06-30,0.11591,0.04931,0.3566,2.07999,1.35075,-3.21708,20721.0,0.08184,8.0,2.17871
2021-09-30,0.13492,0.06113,0.45248,2.16479,1.20702,-3.29753,23114.0,0.08954,7.0,2.73218
2021-12-31,0.11727,0.05513,0.36276,2.2473,1.1273,-2.80119,13224.0,0.04937,7.0,2.50033
2022-03-31,0.10267,0.04854,0.3389,1.98765,1.11514,-2.26901,25331.0,0.0942,6.0,2.22891
2022-06-30,0.10052,0.04588,0.32276,1.78461,1.19068,-2.24273,22862.0,0.0839,6.0,2.23319
2022-09-30,0.10115,0.0488,0.35027,1.84019,1.07289,-2.41237,23914.0,0.08676,6.0,2.3543
2022-12-31,0.08969,0.04506,0.31139,1.93131,0.99061,-2.13715,11340.0,0.03954,4.0,2.2044
2023-03-31,0.09399,0.04814,0.3462,1.91256,0.95234,-2.17046,25511.0,0.08486,6.0,2.45921
2023-06-30,0.09738,0.04874,0.35738,1.76917,0.99772,-2.2762,28074.0,0.08967,7.0,2.70087
2023-09-30,0.10099,0.05,0.39441,1.66346,1.01974,-2.35102,28310.0,0.08076,7.0,3.00054
2023-12-31,0.09179,0.04648,0.35263,1.21796,0.97491,-0.20606,17612.0,0.04649,6.0,2.94268
2024-03-31,0.08666,0.0453,0.35467,1.24176,0.91298,-0.4338,29966.0,0.07713,5.0,2.95236
2024-06-30,0.08208,0.04303,0.34045,1.27495,0.90766,-0.69707,32830.0,0.08294,4.0,2.96502
2024-09-30,0.08573,0.04716,0.37611,1.30144,0.81777,-0.87811,29470.0,0.07187,4.0,3.31858
2024-12-31,0.07964,0.04515,0.34622,1.35082,0.76382,-0.69088,16382.0,0.03807,5.0,3.2425
2025-03-31,0.08023,0.0459,0.36857,1.37159,0.74787,-0.90174,31590.0,0.06998,7.0,3.47377
