date,ROE_Adj,ROA_Adj,Net_Profit_Margin,Current_Ratio,Debt_to_Equity,Net_Debt_EBITDA,Free_Cash_Flow,Cash_ROIC,Piotroski_F,EPS
2018-06-30,0.08548,0.01696,0.09837,1.53741,4.04015,8.9955,490.822,0.0296,5.0,0.88336
2018-09-30,0.08041,0.01724,0.10072,1.3861,3.66424,10.29538,411.63,0.02412,4.0,0.92434
2018-12-31,0.02557,0.00516,0.03199,1.49432,3.95812,31.7578,192.628,0.00988,3.0,0.3069
2019-03-31,0.06033,0.01264,0.0761,0.60791,3.77264,14.16351,511.069,0.0251,1.0,0.7874
2019-06-30,0.04433,0.00897,0.05498,0.84759,3.94163,10.26255,926.811,0.03988,1.0,0.61851
2019-09-30,0.09695,0.0215,0.12684,0.73406,3.50946,7.93563,1539.869,0.06502,4.0,1.51851
2019-12-31,0.07741,0.01728,0.10736,0.90122,3.48101,20.02925,-295.948,-0.01091,3.0,1.33837
2020-03-31,0.08432,0.02022,0.12294,0.82098,3.16919,9.64519,933.808,0.03371,5.0,1.61389
2020-06-30,0.07715,0.01937,0.11714,1.12296,2.98246,6.24078,1347.548,0.04485,7.0,1.6347
2020-09-30,0.07645,0.02045,0.12275,1.23762,2.73767,5.69782,1650.797,0.05294,4.0,1.78919
2020-12-31,0.049,0.0138,0.0816,1.25056,2.54989,0.68713,11483.916,0.35916,4.0,1.22593
2021-03-31,0.13247,0.04254,0.23826,1.26951,2.11415,3.58571,2022.323,0.06154,7.0,3.85068
2021-06-30,0.09759,0.03302,0.18429,1.22615,1.95523,1.67243,4646.425,0.13732,6.0,3.05311
2021-09-30,0.09462,0.0339,0.19364,1.16977,1.79079,1.66365,5016.837,0.14176,5.0,3.26962
2021-12-31,0.03833,0.01362,0.07879,0.95063,1.81305,-1.20169,-8044.547,-0.21863,3.0,1.37069
2022-03-31,0.09105,0.03524,0.20304,1.0463,1.58384,1.63558,5498.968,0.14628,3.0,3.60222
2022-06-30,0.07554,0.03109,0.18079,1.04543,1.42981,1.70904,4892.517,0.12593,4.0,3.24132
2022-09-30,0.06811,0.0294,0.17642,1.13533,1.31693,1.47471,5503.715,0.1383,4.0,3.14298
2022-12-31,0.00266,0.00114,0.00704,1.16839,1.33883,1.80785,3706.634,0.09115,6.0,0.12398
2023-03-31,0.05979,0.02637,0.15991,1.26053,1.26727,1.25548,5302.153,0.12754,6.0,2.93125
2023-06-30,0.06515,0.02927,0.1817,1.32626,1.22569,1.10625,5382.15,0.12652,5.0,3.35137
2023-09-30,0.07588,0.03389,0.19638,1.2927,1.23913,1.15277,5632.36,0.13551,9.0,3.79905
2023-12-31,0.04555,0.01924,0.10618,1.11935,1.36697,1.38762,5524.439,0.13718,8.0,2.15287
2024-03-31,0.10916,0.04776,0.24889,1.06805,1.28536,1.09071,6702.263,0.16615,7.0,5.39751
2024-06-30,0.09711,0.04373,0.22463,0.94828,1.22039,1.13487,6494.79,0.15935,7.0,4.99298
2024-09-30,0.10402,0.04521,0.24057,1.13281,1.30106,1.01009,7082.073,0.1632,7.0,5.51914
2024-12-31,0.07552,0.03484,0.18237,1.21803,1.16745,0.92098,6550.332,0.14667,8.0,4.36915
2025-03-31,0.12029,0.05549,0.27415,1.20364,1.16778,0.91666,7350.529,0.16946,8.0,6.76469
