date,ROE_Adj,ROA_Adj,Net_Profit_Margin,Current_Ratio,Debt_to_Equity,Net_Debt_EBITDA,Free_Cash_Flow,Cash_ROIC,Piotroski_F,EPS
2018-07-31,0.12518,0.08547,0.35255,7.40834,0.4647,-4.88651,782.783429,0.07175,7.0,0.04535
2018-10-31,0.12982,0.09006,0.38667,7.08085,0.44137,-4.97425,336.301166,0.02929,6.0,0.05049
2019-01-31,0.06059,0.04258,0.25669,7.94357,0.42282,-13.07071,694.8765,0.06151,5.0,0.0232
2019-04-30,0.0406,0.0281,0.17748,8.98478,0.44487,-10.6406,591.056567,0.04829,5.0,0.01623
2019-07-31,0.05341,0.03736,0.21404,8.6492,0.42947,-8.31435,821.295007,0.06375,5.0,0.02266
2019-10-31,0.08017,0.05686,0.29827,8.42034,0.40984,-7.09175,1535.911544,0.11181,6.0,0.03684
2020-01-31,0.07793,0.05492,0.30628,7.67377,0.4188,-7.53306,1318.537916,0.08351,7.0,0.03898
2020-04-30,0.07001,0.03943,0.29773,10.29112,0.77525,-8.09537,753.286333,0.03667,5.0,0.03734
2020-07-31,0.0447,0.0247,0.16089,6.0917,0.80969,-3.11637,1346.738262,0.06217,4.0,0.02524
2020-10-31,0.08713,0.0497,0.28269,3.92287,0.75303,-1.44361,806.741408,0.035,3.0,0.05405
2021-01-31,0.08625,0.05061,0.29123,4.09045,0.70432,-2.20185,1783.957097,0.06691,4.0,0.05875
2021-04-30,0.10184,0.06209,0.33775,4.52722,0.64035,-2.07732,1571.613153,0.05549,5.0,0.07697
2021-07-31,0.11226,0.06142,0.36484,5.80171,0.82768,-2.51997,2504.360604,0.07012,6.0,0.09523
2021-10-31,0.10354,0.06064,0.3469,7.14452,0.70737,-2.51958,1294.198334,0.03446,5.0,0.099
2022-01-31,0.11284,0.06796,0.39291,6.65029,0.66042,-2.86199,2763.047818,0.06795,6.0,0.11993
2022-04-30,0.10754,0.0626,0.19522,5.31733,0.71778,-3.9316,1366.772785,0.03377,6.0,0.06457
2022-07-31,0.0275,0.01509,0.09785,3.62049,0.82282,-6.06602,835.14331,0.02189,5.0,0.02629
2022-10-31,0.03185,0.0168,0.11465,3.38775,0.89648,-1.27145,-138.177564,-0.00385,4.0,0.02739
2023-01-31,0.06398,0.03434,0.23368,3.51562,0.86335,-0.7198,1736.109233,0.04746,5.0,0.05739
2023-04-30,0.08332,0.04595,0.28407,3.42741,0.81321,-1.21168,2663.486107,0.06779,6.0,0.08271
2023-07-31,0.22501,0.12487,0.45813,2.78663,0.80193,-0.7051,6051.347606,0.14597,8.0,0.25022
2023-10-31,0.27786,0.1707,0.5101,3.5884,0.62778,-0.67216,7046.751577,0.14835,8.0,0.37451
2024-01-31,0.28584,0.18691,0.55581,4.17129,0.52934,-1.06639,11235.816617,0.19381,7.0,0.49838
2024-04-30,0.30282,0.19308,0.57138,3.52946,0.56835,-1.16497,14978.524805,0.2305,9.0,0.60443
2024-07-31,0.28542,0.19476,0.55256,4.26895,0.46546,-1.29938,13493.335689,0.18353,8.0,0.67536
2024-10-31,0.29301,0.20111,0.5504,4.10462,0.45697,-1.26374,16829.52678,0.20563,8.0,0.78706
2025-01-31,0.27848,0.19795,0.56167,4.43985,0.40685,-1.27552,15536.50913,0.16135,7.0,0.90208
