date,ROE_Adj,ROA_Adj,Net_Profit_Margin,Current_Ratio,Debt_to_Equity,Net_Debt_EBITDA,Free_Cash_Flow,Cash_ROIC,Piotroski_F,EPS
2018-06-30,0.05459,0.0232,0.28754,1.16006,1.35272,4.85256,5239.0,0.03628,6.0,0.62626
2018-09-30,0.05623,0.02401,0.30945,1.4333,1.342,4.35621,5776.0,0.0395,8.0,0.66454
2018-12-31,-0.02006,-0.00802,-0.34026,1.56719,1.50038,-6.15283,-3884.0,-0.02848,4.0,-0.0644
2019-03-31,0.06486,0.02469,0.29601,1.53924,1.6272,5.58268,,,7.0,0.65378
2019-06-30,0.08611,0.03303,0.38035,1.46965,1.60657,5.94524,-2875.0,-0.02135,7.0,0.86058
2019-09-30,0.23551,0.09036,0.6056,0.90504,1.60638,8.93642,8741.0,0.05824,4.0,1.3139
2019-12-31,-0.01371,-0.00519,-0.31687,0.87937,1.64153,-12.15789,-3988.0,-0.02722,5.0,-0.10012
2020-03-31,0.05063,0.01989,0.33284,1.02499,1.54578,9.87474,2642.0,0.0178,4.0,0.57422
2020-06-30,0.04848,0.01759,0.35381,1.41877,1.75596,14.38474,3055.0,0.0193,5.0,0.59618
2020-09-30,0.0224,0.0082,0.14294,1.39773,1.73279,14.39284,2004.0,0.01267,6.0,0.25081
2020-12-31,-9e-05,-4e-05,0.07404,1.35285,1.42984,19.12258,3116.0,0.02378,8.0,0.18137
2021-03-31,0.07023,0.03045,0.33597,1.48334,1.30621,4.38471,4910.0,0.03597,6.0,0.87339
2021-06-30,0.07603,0.03146,0.29441,1.36872,1.41659,2.45962,13101.0,0.09484,7.0,0.99642
2021-09-30,0.0887,0.0376,0.33892,1.38503,1.35881,1.14467,14715.0,0.10435,7.0,1.4505
2021-12-31,0.01019,0.00435,0.14234,1.39888,1.34277,1.06306,8114.0,0.05753,7.0,0.60417
2022-03-31,0.08849,0.0398,0.30646,1.38586,1.22336,1.15012,10584.0,0.07288,5.0,1.40028
2022-06-30,0.11107,0.04975,0.35704,1.42303,1.23265,0.51384,11637.0,0.07563,7.0,1.77096
2022-09-30,0.08491,0.04037,0.38033,1.58881,1.10299,0.05006,5838.0,0.03765,6.0,1.53558
2022-12-31,0.04301,0.02092,0.19865,0.98668,1.056,1.71967,9287.0,0.06267,7.0,0.88907
2023-03-31,0.05444,0.02817,0.29976,1.36967,0.93228,1.97519,2129.0,0.01304,5.0,0.98349
2023-06-30,0.02094,0.00944,0.17884,2.11707,1.21734,5.12235,-888.0,-0.00469,3.0,0.41197
2023-09-30,-0.02678,-0.01211,-0.17647,2.37706,1.21205,-13.98775,-4361.0,-0.02339,4.0,-0.42171
2023-12-31,-0.06729,-0.02653,-0.23131,0.76932,1.53674,-291.61576,6408.0,0.0355,2.0,-0.59688
2024-03-31,0.03255,0.01363,0.20937,1.04734,1.38871,9.70045,2192.0,0.01161,4.0,0.55065
2024-06-30,-0.01387,-0.00564,0.00301,0.86321,1.45744,15.61092,-312.0,-0.00169,4.0,0.00706
2024-09-30,0.04472,0.01886,0.25225,1.00028,1.37123,8.20415,7501.0,0.04034,7.0,0.78789
2024-12-31,-0.00483,-0.002,0.02314,1.17125,1.41134,74.36271,2178.0,0.01228,9.0,0.07254
2025-03-31,0.02517,0.01096,0.21641,1.25819,1.29516,7.41221,3371.0,0.01915,6.0,0.523
