date,ROE_Adj,ROA_Adj,Net_Profit_Margin,Current_Ratio,Debt_to_Equity,Net_Debt_EBITDA,Free_Cash_Flow,Cash_ROIC,Piotroski_F,EPS
2018-06-30,0.03576,0.01598,0.11459,0.82587,1.2372,5.27436,4044.0,0.04024,5.0,0.75336
2018-09-30,0.06093,0.02701,0.19167,0.79897,1.25583,4.77341,3735.0,0.03745,6.0,1.28175
2018-12-31,0.05867,0.02582,0.18316,0.78187,1.27186,4.73163,4516.0,0.04319,6.0,1.27775
2019-03-31,0.04941,0.02256,0.16675,0.78646,1.19025,5.18959,3606.0,0.03528,7.0,1.09402
2019-06-30,-0.28555,-0.11804,-0.3066,0.74883,1.41903,4.9849,4630.0,0.04885,5.0,-2.08821
2019-09-30,0.07647,0.0315,0.20188,0.72472,1.42759,4.03132,4972.0,0.05337,6.0,1.4349
2019-12-31,0.08097,0.03327,0.20378,0.62714,1.43363,5.45416,5159.0,0.05687,7.0,1.49457
2020-03-31,0.06349,0.0246,0.16946,0.82502,1.5807,8.46919,4244.0,0.04315,8.0,1.17801
2020-06-30,0.05973,0.0232,0.15821,0.84871,1.57477,4.31641,5350.0,0.05409,7.0,1.12849
2020-09-30,0.08805,0.03567,0.2214,0.8673,1.46828,3.06838,5602.0,0.0574,8.0,1.72037
2020-12-31,0.0794,0.03209,0.19519,0.77668,1.4745,3.16625,6731.0,0.06942,7.0,1.55667
2021-03-31,0.06967,0.02799,0.18052,0.70615,1.48893,4.43577,4765.0,0.05094,8.0,1.32935
2021-06-30,0.06229,0.02436,0.15338,0.69694,1.55727,5.10588,4647.0,0.04888,7.0,1.17476
2021-09-30,0.08861,0.03436,0.20218,0.66512,1.57863,3.86763,,,6.0,1.70382
2021-12-31,0.09407,0.03478,0.20155,0.67176,1.70456,4.11979,,,7.0,1.74981
2022-03-31,0.07334,0.02791,0.17311,0.68068,1.62792,5.33369,3892.0,0.04066,4.0,1.39015
2022-06-30,0.06514,0.02604,0.15639,0.65454,1.50156,5.62014,4178.0,0.04504,6.0,1.21389
2022-09-30,0.08885,0.03387,0.1911,0.61503,1.62286,4.6935,5221.0,0.05713,5.0,1.57333
2022-12-31,0.08794,0.03341,0.18933,0.56434,1.63197,5.1541,4696.0,0.05035,5.0,1.58512
2023-03-31,0.07479,0.02834,0.16927,0.58651,1.63867,5.86943,4629.0,0.04845,8.0,1.43996
2023-06-30,0.0719,0.02801,0.16465,0.6334,1.56728,5.41516,6245.0,0.06553,7.0,1.4636
2023-09-30,0.09414,0.03689,0.20667,0.67119,1.55204,4.04252,6214.0,0.06394,8.0,1.91525
2023-12-31,0.04356,0.01762,0.16175,0.64289,1.47209,3.97506,6338.0,0.06645,7.0,1.47074
2024-03-31,0.07454,0.03137,0.18579,0.69441,1.37612,4.8635,5477.0,0.05766,8.0,1.58949
2024-06-30,0.06205,0.02564,0.15279,0.73483,1.42037,4.94576,6097.0,0.06355,6.0,1.32817
2024-09-30,0.07595,0.03131,0.18218,0.75368,1.4258,3.6777,5233.0,0.05209,6.0,1.68067
2024-12-31,0.08996,0.03774,0.2115,0.75868,1.384,3.79355,6005.0,0.06111,6.0,1.96777
2025-03-31,0.07177,0.03066,0.19069,0.71347,1.34055,4.76848,6569.0,0.06661,6.0,1.6066
