date,ROE_Adj,ROA_Adj,Net_Profit_Margin,Current_Ratio,Debt_to_Equity,Net_Debt_EBITDA,Free_Cash_Flow,Cash_ROIC,Piotroski_F,EPS
2018-07-31,-0.01166,-0.00418,-0.00673,0.92588,1.79171,4.51642,6093.0,0.0446,5.0,-0.09742
2018-10-31,0.02152,0.00755,0.01369,0.80986,1.85121,6.81713,5596.0,0.03683,4.0,0.19494
2019-01-31,-0.05878,-0.02135,0.02656,0.79891,1.75379,5.71846,10792.0,0.07212,6.0,0.42438
2019-04-30,0.05129,0.01638,0.031,0.77282,2.13101,5.8052,4274.0,0.02656,5.0,0.44638
2019-07-31,0.0457,0.01501,0.02769,0.76443,2.04496,5.20144,7736.0,0.04756,6.0,0.42178
2019-10-31,0.0451,0.01473,0.02569,0.81056,2.06269,8.81629,2257.0,0.01363,6.0,0.38551
2020-01-31,0.05844,0.02015,0.02923,0.79452,1.89993,5.45926,11492.0,0.0698,6.0,0.48689
2020-04-30,0.06246,0.01988,0.02964,0.76625,2.14252,7.33288,8547.0,0.05315,6.0,0.4698
2020-07-31,0.11844,0.04051,0.04702,0.79305,1.92353,5.75923,14414.0,0.08904,7.0,0.76224
2020-10-31,0.07888,0.02751,0.03812,0.83524,1.86687,6.13265,4049.0,0.02411,8.0,0.60419
2021-01-31,-0.08873,-0.03076,-0.01375,0.97217,1.88465,5.30207,11471.0,0.07008,6.0,-0.24646
2021-04-30,0.00137,0.00049,0.01974,0.94743,1.79673,2.67482,3222.0,0.02012,8.0,0.32327
2021-07-31,0.03724,0.0136,0.03032,0.96451,1.73798,2.35028,10365.0,0.06469,7.0,0.50923
2021-10-31,0.0201,0.00745,0.0221,0.94686,1.69787,3.18704,3432.0,0.02148,7.0,0.37163
2022-01-31,0.03001,0.01126,0.0233,0.9278,1.66468,4.78064,5028.0,0.03119,7.0,0.44353
2022-04-30,-0.00031,-0.00011,0.01451,0.86212,1.86678,5.03738,-5110.0,-0.03094,3.0,0.24726
2022-07-31,0.06177,0.02145,0.03368,0.84249,1.87953,3.85031,11804.0,0.07207,7.0,0.62731
2022-10-31,-0.06853,-0.02224,-0.01177,0.86463,2.08095,7.28037,2524.0,0.01587,5.0,-0.22107
2023-01-31,0.12353,0.04266,0.03825,0.82057,1.89551,5.76421,13745.0,0.08836,5.0,0.78047
2023-04-30,-0.01664,-0.00539,0.01098,0.82206,2.08379,5.63511,2801.0,0.01804,5.0,0.207
2023-07-31,0.13787,0.04624,0.04882,0.82677,1.98181,4.77331,12878.0,0.07884,7.0,0.97673
2023-10-31,-0.05008,-0.01658,0.00282,0.84804,2.02029,6.03211,-3043.0,-0.01815,7.0,0.05607
2024-01-31,0.06964,0.02499,0.03169,0.83187,1.78675,4.74805,13394.0,0.08152,6.0,0.68096
2024-04-30,0.0668,0.02322,0.0316,0.80283,1.87749,5.2896,2937.0,0.01777,7.0,0.6338
2024-07-31,0.03678,0.01312,0.02658,0.80317,1.80307,4.50318,10057.0,0.06137,7.0,0.55955
2024-10-31,0.04705,0.01688,0.02699,0.8477,1.78832,4.95626,2863.0,0.01708,8.0,0.56942
2025-01-31,0.05077,0.01902,0.0291,0.82268,1.66985,4.34238,9446.0,0.0556,7.0,0.65438
