date,ROE_Adj,ROA_Adj,Net_Profit_Margin,Current_Ratio,Debt_to_Equity,Net_Debt_EBITDA,Free_Cash_Flow,Cash_ROIC,Piotroski_F,EPS
2018-06-30,0.02041,0.01132,0.05504,0.80957,0.80222,2.11188,14698.0,0.0479,6.0,0.92484
2018-09-30,0.0317,0.0176,0.0836,0.82672,0.80169,1.69459,17715.0,0.05738,6.0,1.46102
2018-12-31,0.03022,0.01733,0.09007,0.8396,0.74381,2.1829,11850.0,0.03869,5.0,1.40581
2019-03-31,0.01187,0.0066,0.03795,0.77404,0.79874,2.45905,12782.0,0.04105,4.0,0.55035
2019-06-30,0.01577,0.00868,0.04621,0.73617,0.8176,2.59468,7774.0,0.02455,4.0,0.73285
2019-09-30,0.01608,0.00882,0.04965,0.779,0.82316,2.56317,10904.0,0.03447,3.0,0.74221
2019-12-31,0.0286,0.01569,0.08622,0.7822,0.82266,2.4176,16892.0,0.05292,4.0,1.33318
2020-03-31,-0.00323,-0.00171,-0.01101,0.77577,0.88512,4.06168,6356.0,0.01994,3.0,-0.14286
2020-06-30,-0.00577,-0.00299,-0.03323,0.92572,0.93155,6.58711,3559.0,0.01088,3.0,-0.25287
2020-09-30,-0.00368,-0.0019,-0.01489,0.86231,0.93944,5.11446,8178.0,0.02528,4.0,-0.15921
2020-12-31,-0.12228,-0.06032,-0.43439,0.7965,1.02736,6.06208,2225.0,0.0075,3.0,-4.69803
2021-03-31,0.01664,0.00818,0.04734,0.80125,1.03393,4.25945,11948.0,0.04095,7.0,0.63904
2021-06-30,0.02833,0.0139,0.07073,0.84903,1.03731,3.20636,16899.0,0.0582,5.0,1.09656
2021-09-30,0.0403,0.02005,0.0936,0.89813,1.01001,2.46502,20353.0,0.07072,8.0,1.57858
2021-12-31,0.05049,0.02617,0.10701,1.04433,0.92917,1.74222,27422.0,0.0957,9.0,2.09559
2022-03-31,0.03104,0.01545,0.0623,1.07211,1.00974,1.61034,20607.0,0.07165,7.0,1.28505
2022-06-30,0.09674,0.04854,0.1543,1.16294,0.99327,0.76886,38653.0,0.13101,9.0,4.21
2022-09-30,0.10184,0.05311,0.17543,1.34071,0.91746,0.48032,28539.0,0.09441,8.0,4.59775
2022-12-31,0.06297,0.03455,0.15185,1.41402,0.8228,0.28477,44716.0,0.14873,6.0,2.98295
2023-03-31,0.05537,0.03094,0.13578,1.45837,0.78947,0.33767,26150.0,0.08574,8.0,2.78645
2023-06-30,0.03807,0.02169,0.09665,1.48443,0.75485,0.53601,21043.0,0.06891,6.0,1.94
2023-09-30,0.0437,0.02436,0.10156,1.42081,0.79373,0.33862,24352.0,0.07963,6.0,2.25
2023-12-31,0.0359,0.02028,0.09173,1.4791,0.77059,0.41831,17019.0,0.05401,7.0,1.9013
2024-03-31,0.03858,0.02175,0.10118,1.38175,0.77383,0.32537,19890.0,0.0633,5.0,2.05603
2024-06-30,0.03345,0.02006,0.10119,1.36,0.66762,0.68108,22235.0,0.05607,4.0,2.14038
2024-09-30,0.03115,0.01864,0.09725,1.34798,0.67119,0.63191,22626.0,0.05691,5.0,1.92963
2024-12-31,0.02812,0.01678,0.09247,1.3084,0.67578,0.84001,18642.0,0.04803,4.0,1.72367
2025-03-31,0.02859,0.01707,0.09434,1.23573,0.67494,0.92522,19938.0,0.05208,5.0,1.76418
