date,ROE_Adj,ROA_Adj,Net_Profit_Margin,Current_Ratio,Debt_to_Equity,Net_Debt_EBITDA,Free_Cash_Flow,Cash_ROIC,Piotroski_F,EPS
2018-06-30,0.10021,0.03299,0.21626,0.62346,2.03784,2.85593,11602.0,0.04172,6.0,0.58985
2018-09-30,0.13183,0.03862,0.22456,0.62643,2.4133,2.55309,18907.0,0.06989,7.0,0.73543
2018-12-31,0.16935,0.05342,0.2368,0.69969,2.17001,1.05841,29045.0,0.10114,6.0,1.05394
2019-03-31,0.10921,0.0338,0.19928,0.67046,2.23066,1.97739,11541.0,0.04264,3.0,0.61836
2019-06-30,0.10413,0.03117,0.18666,0.77286,2.34079,0.95351,11421.0,0.04461,6.0,0.54938
2019-09-30,0.15125,0.04043,0.21371,0.8243,2.741,0.39832,20968.0,0.0842,7.0,0.76189
2019-12-31,0.24836,0.06528,0.24217,0.83606,2.80447,0.03981,34205.0,0.13484,8.0,1.25911
2020-03-31,0.14344,0.03511,0.19291,0.77629,3.08543,0.9883,13670.0,0.05586,8.0,0.645
2020-06-30,0.15568,0.03546,0.18854,0.73965,3.39036,1.24333,15732.0,0.06536,7.0,0.65234
2020-09-30,0.19396,0.03913,0.19588,0.70427,3.95704,1.22979,21798.0,0.09385,6.0,0.74295
2020-12-31,0.43421,0.08122,0.25803,0.66486,4.34631,0.97285,42879.0,0.183,7.0,1.69795
2021-03-31,0.34158,0.07009,0.26377,0.56488,3.87377,1.70993,28633.0,0.11746,7.0,1.41045
2021-06-30,0.33827,0.06592,0.26701,0.53592,4.1313,2.22921,22793.0,0.09572,6.0,1.29088
2021-09-30,0.32574,0.05855,0.24653,1.07455,4.56351,2.31858,24459.0,0.10143,7.0,1.25374
2021-12-31,0.48143,0.09085,0.2794,0.60249,4.29932,1.33269,54518.0,0.21826,7.0,2.11265
2022-03-31,0.37107,0.07132,0.2571,0.51198,4.20278,2.09286,33279.0,0.13877,7.0,1.52577
2022-06-30,0.33459,0.05781,0.23436,0.86463,4.78775,2.7611,24178.0,0.10447,5.0,1.20287
2022-09-30,0.40892,0.05874,0.22986,0.87936,5.96154,2.58529,28358.0,0.12897,8.0,1.27781
2022-12-31,0.52881,0.08651,0.25606,0.93802,5.11256,1.53486,39273.0,0.17775,5.0,1.88753
2023-03-31,0.38869,0.07274,0.25476,0.94035,4.3438,1.72165,32753.0,0.14579,7.0,1.53036
2023-06-30,0.32984,0.05934,0.24305,0.98156,4.55858,1.79647,27558.0,0.12454,7.0,1.2665
2023-09-30,0.36939,0.06511,0.2565,1.05964,4.67346,1.67217,25441.0,0.11404,6.0,1.47159
2023-12-31,0.45771,0.09594,0.28364,1.07254,3.77077,0.8084,48359.0,0.208,9.0,2.18675
2024-03-31,0.31857,0.07005,0.26044,1.13582,3.54769,1.21812,27398.0,0.12104,5.0,1.53422
2024-06-30,0.32152,0.06468,0.25004,1.04958,3.9711,1.40072,31781.0,0.14775,8.0,1.40297
2024-09-30,0.25875,0.04037,0.15523,0.9245,5.40878,1.27555,51076.0,0.24384,7.0,0.97126
2024-12-31,0.5442,0.10558,0.29228,0.99793,4.15421,0.9371,38474.0,0.181,6.0,2.40888
2025-03-31,0.37098,0.07481,0.25986,0.90637,3.95887,1.54071,27202.0,0.13187,7.0,1.65265
