date,ROE_Adj,ROA_Adj,Net_Profit_Margin,Current_Ratio,Debt_to_Equity,Net_Debt_EBITDA,Free_Cash_Flow,Cash_ROIC,Piotroski_F,EPS
2018-06-30,0.07241,0.0189,0.04791,1.07244,2.83198,-0.36474,3498.0,0.04199,6.0,0.2607
2018-09-30,0.07369,0.02006,0.05096,1.08244,2.67272,-0.67729,5636.0,0.06378,7.0,0.29539
2018-12-31,0.06951,0.01861,0.04182,1.09811,2.73483,-2.20614,12584.0,0.13351,8.0,0.30888
2019-03-31,0.07356,0.01999,0.05965,1.09005,2.67903,-1.47703,-721.0,-0.0063,6.0,0.36263
2019-06-30,0.04947,0.01372,0.0414,1.10207,2.60625,-2.18851,5041.0,0.04143,6.0,0.26623
2019-09-30,0.03776,0.01072,0.03049,1.0959,2.52338,-2.40011,3718.0,0.02928,5.0,0.21556
2019-12-31,0.05266,0.01451,0.03738,1.09705,2.62952,-3.14529,15537.0,0.11305,5.0,0.32877
2020-03-31,0.03884,0.01146,0.0336,1.07871,2.38948,-2.76494,-2877.0,-0.02033,4.0,0.25452
2020-06-30,0.07111,0.0203,0.05897,1.18118,2.50361,-3.3011,12996.0,0.07904,6.0,0.5243
2020-09-30,0.07648,0.02244,0.06585,1.1085,2.40899,-2.78942,989.0,0.00549,5.0,0.63184
2020-12-31,0.07732,0.02248,0.05752,1.05023,2.43877,-3.64632,13174.0,0.06762,6.0,0.72076
2021-03-31,0.07846,0.02509,0.07471,1.05203,2.12696,-2.52868,-6643.0,-0.03199,6.0,0.80427
2021-06-30,0.06775,0.02159,0.06878,1.19573,2.13859,-2.51684,-2533.0,-0.01044,6.0,0.77163
2021-09-30,0.02618,0.00825,0.02848,1.11724,2.17181,-2.09659,-10037.0,-0.03884,5.0,0.31124
2021-12-31,0.10361,0.03406,0.10423,1.13576,2.04206,-3.53049,10504.0,0.03775,7.0,1.41812
2022-03-31,-0.02869,-0.00936,-0.03301,0.95963,2.0654,-1.46392,-21588.0,-0.07958,3.0,-0.3776
2022-06-30,-0.01543,-0.00483,-0.01673,0.95278,2.19423,-0.20387,-11409.0,-0.04083,5.0,-0.19931
2022-09-30,0.02089,0.0067,0.0226,0.93659,2.11561,0.02,-8711.0,-0.03025,4.0,0.28182
2022-12-31,0.0019,0.0006,0.00186,0.94464,2.16807,-0.18649,13453.0,0.04378,4.0,0.02723
2023-03-31,0.02053,0.00683,0.02491,0.92309,2.00518,0.16852,-10542.0,-0.03328,5.0,0.30946
2023-06-30,0.04004,0.01413,0.05023,0.94768,1.83275,-0.04556,3369.0,0.01023,6.0,0.65
2023-09-30,0.05399,0.02029,0.06904,0.98472,1.66096,-0.1317,9891.0,0.02895,7.0,0.95708
2023-12-31,0.05263,0.02013,0.06251,1.04508,1.61476,-1.05317,30243.0,0.08333,8.0,1.03554
2024-03-31,0.04814,0.01965,0.07278,1.07207,1.45069,-1.01664,5640.0,0.01492,7.0,1.00366
2024-06-30,0.05703,0.02431,0.09113,1.09569,1.34648,-1.28053,6000.0,0.01513,7.0,1.2908
2024-09-30,0.05915,0.02622,0.09648,1.08865,1.25593,-1.07481,5607.0,0.01325,7.0,1.45967
2024-12-31,0.06995,0.03201,0.10652,1.06373,1.18517,-1.31886,20207.0,0.04536,7.0,1.89593
2025-03-31,0.05599,0.02663,0.11002,1.0481,1.10306,-1.26094,-2788.0,-0.00597,5.0,1.6153
