date,ROE_Adj,ROA_Adj,Net_Profit_Margin,Current_Ratio,Debt_to_Equity,Net_Debt_EBITDA,Free_Cash_Flow,Cash_ROIC,Piotroski_F,EPS
2018-06-30,0.02447,0.00282,0.28599,,7.67347,38.21588,,,,0.63506
2018-09-30,0.02556,0.00287,0.2942,,7.92146,33.94676,,,,0.66799
2018-12-31,0.02653,0.00299,0.31272,,7.87405,33.97333,,,,0.7146
2019-03-31,0.02573,0.00289,0.2986,,7.9029,36.57432,,,,0.70626
2019-06-30,0.02619,0.00297,0.30796,,7.82764,37.69525,,,,0.74649
2019-09-30,0.01964,0.00217,0.23116,,8.04042,50.30382,,,,0.56666
2019-12-31,0.02548,0.00277,0.30194,,8.19179,38.02042,,,,0.749
2020-03-31,0.01337,0.00135,0.15553,,8.88968,52.09073,,,,0.40167
2020-06-30,0.01236,0.0012,0.14709,,9.32118,48.78651,,,,0.37575
2020-09-30,0.01651,0.00162,0.21833,,9.1858,39.40705,,,,0.50842
2020-12-31,0.01908,0.00185,0.25912,,9.33118,36.12972,,,,0.59695
2021-03-31,0.02759,0.00255,0.33127,,9.83939,22.32365,,,,0.86896
2021-06-30,0.03235,0.00296,0.41759,,9.93355,35.67268,,,,1.03033
2021-09-30,0.02665,0.00235,0.3189,,10.32423,53.67512,,,,0.88251
2021-12-31,0.02508,0.00214,0.30703,,10.736,17.80079,,,,0.82331
2022-03-31,0.02475,0.00204,0.28414,,11.1456,43.1592,,,,0.81113
2022-06-30,0.02204,0.00191,0.26146,,10.56224,55.15238,,,,0.72903
2022-09-30,0.02441,0.00214,0.26851,,10.40141,34.21485,,,,0.81006
2022-12-31,0.02527,0.00226,0.28143,,10.16914,31.94976,,,,0.72082
2023-03-31,0.02732,0.0024,0.29157,,10.40151,65.20955,,,,0.94918
2023-06-30,0.02507,0.00227,0.28186,,10.02361,68.59387,,,,0.88323
2023-09-30,0.02533,0.00231,0.28887,,9.98393,32.45843,,,,0.90681
2023-12-31,0.00569,0.00089,0.12924,,5.37084,78.09258,,,,0.35517
2024-03-31,0.0121,0.00188,0.2379,,5.44854,45.06346,,,,0.77081
2024-06-30,0.01297,0.00202,0.25937,,5.41789,46.69592,,,,0.83339
2024-09-30,0.01229,0.00192,0.25173,,5.4031,55.59964,,,,0.81607
2024-12-31,0.01265,0.00196,0.25246,,5.44916,48.03887,,,,0.82697
2025-03-31,0.01405,0.00209,0.25543,,5.73469,51.61928,,,,0.91041
