date,ROE_Adj,ROA_Adj,Net_Profit_Margin,Current_Ratio,Debt_to_Equity,Net_Debt_EBITDA,Free_Cash_Flow,Cash_ROIC,Piotroski_F,EPS
2018-06-30,0.11424,0.02161,0.12183,1.36541,4.28624,6.42142,2494.0,0.03952,7.0,2.86313
2018-09-30,0.10868,0.02208,0.12783,1.47713,3.9219,6.52949,1808.0,0.02896,7.0,2.91674
2018-12-31,0.07443,0.01335,0.07307,1.36803,4.57592,7.45799,1753.0,0.02835,7.0,1.80908
2019-03-31,0.12153,0.02389,0.13969,1.42858,4.08632,6.90816,1595.0,0.02537,6.0,3.28616
2019-06-30,0.10889,0.02046,0.11225,1.43461,4.32242,6.93938,3122.0,0.04959,6.0,2.85312
2019-09-30,0.09965,0.01916,0.1171,1.43965,4.20196,7.30238,1587.0,0.02516,4.0,2.6856
2019-12-31,0.07506,0.014,0.08354,1.47226,4.36284,7.54987,2617.0,0.04142,7.0,1.99673
2020-03-31,0.07669,0.01439,0.10268,1.41748,4.33001,9.49795,1409.0,0.02274,5.0,1.99707
2020-06-30,0.03324,0.00598,0.04581,1.50061,4.55752,12.13563,1598.0,0.02592,5.0,0.8458
2020-09-30,0.04455,0.0087,0.0676,1.54272,4.11811,10.30437,1731.0,0.02775,5.0,1.23179
2020-12-31,0.05072,0.00996,0.06943,1.53455,4.09325,7.82682,2082.0,0.0334,7.0,1.42909
2021-03-31,0.09207,0.01895,0.12871,1.60211,3.85822,6.25188,2611.0,0.04037,7.0,2.80015
2021-06-30,0.08371,0.0173,0.10963,1.56122,3.83987,6.80096,2767.0,0.04223,8.0,2.58602
2021-09-30,0.08541,0.01765,0.11503,1.61276,3.83881,7.40329,2376.0,0.0369,8.0,2.64711
2021-12-31,0.12836,0.02561,0.15365,1.45593,4.0129,8.14565,1819.0,0.02814,6.0,3.9354
2022-03-31,0.0899,0.01868,0.11311,1.44149,3.81231,5.40747,947.0,0.01654,5.0,2.85317
2022-06-30,0.10616,0.02063,0.11743,1.4495,4.14671,5.9679,2738.0,0.04791,6.0,3.10562
2022-09-30,0.13065,0.02523,0.13612,1.40974,4.17904,4.43972,3108.0,0.05661,8.0,3.88762
2022-12-31,0.03329,0.00646,0.08761,0.76487,4.15657,6.07819,3318.0,0.06372,6.0,2.67279
2023-03-31,0.10693,0.02323,0.12249,1.43396,3.60369,5.93506,2223.0,0.03477,7.0,3.76404
2023-06-30,0.16006,0.0342,0.16873,1.33092,3.67939,2.84096,4626.0,0.08311,8.0,5.69702
2023-09-30,0.13625,0.03219,0.16621,1.44925,3.23226,3.16455,5138.0,0.08876,9.0,5.48058
2023-12-31,0.13721,0.03059,0.15677,1.35191,3.48526,5.3635,4774.0,0.07332,8.0,5.3148
2024-03-31,0.16186,0.03411,0.18077,1.34886,3.74588,5.36973,3245.0,0.05123,5.0,5.78255
2024-06-30,0.15645,0.03217,0.16064,1.28399,3.86321,3.75688,4181.0,0.07592,5.0,5.50287
2024-09-30,0.12699,0.02856,0.15299,1.39506,3.44637,3.78465,4787.0,0.08285,5.0,5.08881
2024-12-31,0.14317,0.0318,0.17212,1.41553,3.5021,4.26801,3575.0,0.0597,7.0,5.79647
2025-03-31,0.11085,0.02357,0.14057,1.3198,3.70249,4.96168,1956.0,0.03503,3.0,4.21773
