date,ROE_Adj,ROA_Adj,Net_Profit_Margin,Current_Ratio,Debt_to_Equity,Net_Debt_EBITDA,Free_Cash_Flow,Cash_ROIC,Piotroski_F,EPS
2018-07-31,0.08802,0.03496,0.29609,2.28729,1.51792,-5.43216,3137.0,0.03606,7.0,0.81365
2018-10-31,0.08094,0.03366,0.2715,2.1082,1.40442,-3.98806,3823.0,0.04432,8.0,0.77744
2019-01-31,0.06919,0.02754,0.22674,1.80186,1.512,-3.98945,4312.0,0.05213,7.0,0.63132
2019-04-30,0.08271,0.03129,0.23491,1.69495,1.64338,-2.74036,4796.0,0.06216,8.0,0.69657
2019-07-31,0.06571,0.02256,0.16428,1.5059,1.91302,-2.10568,6325.0,0.08293,7.0,0.51651
2019-10-31,0.085,0.03164,0.22236,1.69598,1.68692,-2.36089,4284.0,0.05959,7.0,0.68912
2020-01-31,0.081,0.03183,0.23973,1.81334,1.54485,-2.88481,4623.0,0.0662,8.0,0.67845
2020-04-30,0.07769,0.03035,0.23149,1.59259,1.55948,-3.23575,5063.0,0.07237,7.0,0.65579
2020-07-31,0.06951,0.02779,0.21688,1.72015,1.5014,-4.01951,4541.0,0.06261,7.0,0.62376
2020-10-31,0.05698,0.02288,0.18224,1.59272,1.48979,-5.11288,4560.0,0.06245,5.0,0.51395
2021-01-31,0.06505,0.02662,0.21279,1.61035,1.44373,-4.38207,3765.0,0.05134,7.0,0.60265
2021-04-30,0.07121,0.03049,0.22362,1.52749,1.33543,-3.0491,4687.0,0.06543,7.0,0.6786
2021-07-31,0.05144,0.02178,0.22924,1.48958,1.36213,-2.62465,6560.0,0.08895,8.0,0.71371
2021-10-31,0.06979,0.03105,0.23101,1.61752,1.24775,-3.48628,4296.0,0.05865,8.0,0.70583
2022-01-31,0.0752,0.03151,0.23373,1.41999,1.38662,-2.40689,3170.0,0.04474,5.0,0.70517
2022-04-30,0.07535,0.0328,0.23716,1.4899,1.29696,-2.61497,4537.0,0.06514,6.0,0.72771
2022-07-31,0.07083,0.02997,0.21485,1.43202,1.36346,-2.52512,4390.0,0.0632,6.0,0.67506
2022-10-31,0.06635,0.02871,0.19586,1.45168,1.31064,-2.75892,5191.0,0.07479,6.0,0.64995
2023-01-31,0.061,0.0264,0.20402,1.41329,1.31085,-3.31588,5874.0,0.08411,6.0,0.67585
2023-04-30,0.07389,0.03204,0.22044,1.39107,1.30592,-3.32159,6251.0,0.08862,8.0,0.78552
2023-07-31,0.08466,0.03687,0.26034,0.96148,1.29639,-3.63981,6870.0,0.12519,8.0,0.972
2023-10-31,0.07775,0.03558,0.24802,1.46695,1.18496,-3.30688,3561.0,0.04896,8.0,0.89672
2024-01-31,0.05669,0.02592,0.20593,0.98891,1.1875,-3.9847,1016.0,0.0169,5.0,0.64957
2024-04-30,0.02937,0.01093,0.14848,0.71547,1.68742,3.67919,3591.0,0.04478,5.0,0.4666
2024-07-31,0.0451,0.01648,0.15848,0.70848,1.73694,3.68928,4255.0,0.05389,5.0,0.53808
2024-10-31,0.04519,0.01659,0.19587,0.7019,1.72397,3.49318,2827.0,0.03538,5.0,0.67945
2025-01-31,0.05311,0.01992,0.17354,0.70786,1.66582,3.65216,2302.0,0.02906,4.0,0.6099
2025-04-30,0.05349,0.02051,0.17605,0.74697,1.60764,3.53107,4395.0,0.0564,8.0,0.62714
