date,ROE_Adj,ROA_Adj,Net_Profit_Margin,Current_Ratio,Debt_to_Equity,Net_Debt_EBITDA,Free_Cash_Flow,Cash_ROIC,Piotroski_F,EPS
2018-06-30,0.02223,0.01322,0.08419,1.07514,0.68163,3.91505,6367.0,0.02713,7.0,1.79386
2018-09-30,0.02616,0.01577,0.09612,1.21931,0.65902,2.81096,8831.0,0.03781,7.0,2.1292
2018-12-31,0.02037,0.01249,0.09247,1.25211,0.63107,2.82062,5139.0,0.02211,9.0,1.96842
2019-03-31,0.01697,0.01032,0.07748,1.1242,0.64497,3.34921,4389.0,0.01877,7.0,1.40307
2019-06-30,0.02734,0.01682,0.11852,1.1477,0.62513,2.7806,7304.0,0.0314,8.0,2.27866
2019-09-30,0.01644,0.01006,0.07418,1.1242,0.63512,2.90179,6597.0,0.02818,5.0,1.3719
2019-12-31,-0.04839,-0.0296,-0.19118,1.06781,0.63509,3.10156,168.0,0.00078,5.0,-3.53452
2020-03-31,0.02416,0.01479,0.12116,1.01158,0.63322,3.45208,3215.0,0.01481,7.0,1.93258
2020-06-30,-0.06228,-0.03746,-0.51658,1.13959,0.6624,-24.80713,-5357.0,-0.02596,4.0,-4.46228
2020-09-30,-0.00325,-0.00192,-0.00863,1.26134,0.68938,7.14878,2427.0,0.0119,5.0,-0.11168
2020-12-31,-0.00848,-0.0047,-0.02653,1.17558,0.80665,9.6551,2767.0,0.01263,4.0,-0.34801
2021-03-31,0.00782,0.0043,0.04431,1.10746,0.8178,6.34111,3829.0,0.01748,5.0,0.71984
2021-06-30,0.02178,0.01201,0.08533,1.17146,0.81319,4.53762,6887.0,0.03157,6.0,1.60722
2021-09-30,0.04397,0.02505,0.14361,1.27589,0.75501,2.9895,10286.0,0.04783,7.0,3.18612
2021-12-31,0.03551,0.02074,0.11022,1.2593,0.7117,2.62962,9377.0,0.04402,7.0,2.64212
2022-03-31,0.04211,0.02487,0.11964,1.43284,0.69305,1.62494,10321.0,0.04731,7.0,3.26766
2022-06-30,0.07528,0.04511,0.17778,1.30845,0.66882,0.84393,17651.0,0.07949,7.0,5.96703
2022-09-30,0.06905,0.04244,0.17684,1.39639,0.62714,0.50648,18251.0,0.08109,7.0,5.81243
2022-12-31,0.03942,0.02451,0.09765,1.47167,0.60825,0.23323,26052.0,0.11555,8.0,3.29407
2023-03-31,0.04074,0.02554,0.12943,1.43326,0.59496,0.5613,10984.0,0.0488,8.0,3.47519
2023-06-30,0.03748,0.02372,0.12729,1.43364,0.58055,1.21013,3484.0,0.01561,7.0,3.21878
2023-09-30,0.03871,0.02438,0.12067,1.25461,0.58755,1.12747,11942.0,0.05167,6.0,3.48804
2023-12-31,0.01368,0.00847,0.04788,1.27497,0.61572,1.27301,8059.0,0.03505,5.0,1.2131
2024-03-31,0.03373,0.02084,0.11292,1.22975,0.61857,1.27736,8892.0,0.03883,5.0,2.98582
2024-06-30,0.02737,0.01683,0.08944,1.15699,0.62635,1.99875,4236.0,0.01855,5.0,2.42847
2024-09-30,0.02826,0.01712,0.08856,1.23641,0.65084,1.93679,11487.0,0.05024,4.0,2.49231
2024-12-31,0.02082,0.01241,0.06202,1.0735,0.67761,1.57433,19624.0,0.08808,7.0,1.82845
2025-03-31,0.02325,0.01361,0.07351,1.08123,0.7084,2.52221,5790.0,0.02576,4.0,2.00616
