date,ROE_Adj,ROA_Adj,Net_Profit_Margin,Current_Ratio,Debt_to_Equity,Net_Debt_EBITDA,Free_Cash_Flow,Cash_ROIC,Piotroski_F,EPS
2018-06-30,0.01572,0.00252,0.02043,1.77937,4.86689,11.38887,-2547.873629,-0.00948,4.0,0.5673
2018-09-30,-0.03163,-0.00319,-0.97469,1.59503,8.3933,-2.46186,-3974.08811,-0.01708,3.0,-20.9905
2018-12-31,-0.00592,-0.00059,0.02175,1.78999,8.30688,14.48753,6135.672151,0.02382,7.0,0.53094
2019-03-31,0.02632,0.00294,0.15973,1.7921,7.36583,10.89193,-1341.172163,-0.00562,5.0,3.24991
2019-06-30,0.0134,0.00154,-0.00261,1.826,7.15821,19.57727,-1550.038697,-0.00662,4.0,-0.05603
2019-09-30,-0.02822,-0.00313,-0.40518,1.99001,8.02144,13.10488,545.727551,0.00279,7.0,-8.64395
2019-12-31,0.00698,0.00075,0.02532,1.33529,8.29576,1965.95292,8581.73643,0.04441,5.0,0.49262
2020-03-31,-0.16351,-0.023,0.31585,1.89011,6.10874,-0.38252,-797.28935,-0.00419,5.0,5.63999
2020-06-30,-0.00257,-0.00035,-0.12964,2.19771,6.27561,-321.51965,-1695.038458,-0.00911,3.0,-2.08074
2020-09-30,-0.03156,-0.00432,-0.06137,2.29229,6.30934,-10.84476,1007.378087,0.00545,5.0,-1.09201
2020-12-31,0.06856,0.00992,0.11582,1.55371,5.91083,32.6302,3318.052693,0.01777,6.0,2.22916
2021-03-31,0.00255,0.00037,-0.16836,1.9625,5.97417,22.00892,-2314.658404,-0.01327,3.0,-2.62498
2021-06-30,0.00564,0.00083,-0.06511,1.80817,5.77808,157.18976,225.631599,0.00134,6.0,-1.08
2021-09-30,0.01197,0.00189,0.06484,1.79529,5.27548,17.6678,2020.828381,0.01164,7.0,1.09924
2021-12-31,-0.02431,-0.00509,-1.44644,1.27708,3.77913,-1.97502,2437.749015,0.01832,3.0,-3.54413
2022-03-31,-0.02447,-0.00513,-0.09374,1.1866,3.76515,18.81838,-817.953922,-0.00642,3.0,-1.08231
2022-06-30,0.00499,0.00097,-0.06704,1.12571,4.16218,-153.61015,262.305432,0.00218,4.0,-0.86362
2022-09-30,-0.00157,-0.00028,0.00615,1.09924,4.52241,18.41678,1169.842381,0.01026,5.0,0.08137
2022-12-31,0.0962,0.01778,-0.17319,1.14842,4.40934,0.66152,4639.494735,0.03295,6.0,1.5718
2023-03-31,0.02547,0.00508,0.50804,1.25134,4.01103,-0.3301,-557.52073,-0.0047,7.0,6.75758
2023-06-30,0.03366,0.00668,-0.00286,1.21662,4.0359,-1.01937,393.118778,0.00341,7.0,-0.02294
2023-09-30,0.0496,0.00944,0.02817,1.14005,4.2513,0.71681,1604.852112,0.01479,8.0,0.24194
2023-12-31,0.03728,0.00615,0.16806,1.32568,5.0582,-0.17173,2894.674873,0.02034,7.0,1.45602
2024-03-31,0.04146,0.00787,0.09575,1.13887,4.27074,-0.62196,571.86811,0.00508,5.0,1.4088
2024-06-30,0.09294,0.01422,0.13901,1.14049,5.53765,2.51657,834.946538,0.00906,5.0,1.1607
2024-09-30,0.07107,0.01071,0.18817,1.13366,5.63241,1.61175,1239.204538,0.01314,5.0,1.71006
