date,ROE_Adj,ROA_Adj,Net_Profit_Margin,Current_Ratio,Debt_to_Equity,Net_Debt_EBITDA,Free_Cash_Flow,Cash_ROIC,Piotroski_F,EPS
2018-06-30,0.11479,0.02585,0.25944,1.14733,3.44057,10.95781,2436.0,0.03166,6.0,0.5443
2018-09-30,0.09317,0.02164,0.22802,1.06309,3.30553,11.16727,3548.0,0.04746,7.0,0.44183
2018-12-31,0.04565,0.01045,0.09156,1.04828,3.36646,13.7744,2419.0,0.03351,7.0,0.20418
2019-03-31,0.08473,0.01899,0.20923,1.02136,3.46107,14.20299,1281.0,0.01702,4.0,0.39288
2019-06-30,0.12846,0.02897,0.26078,0.82908,3.43439,10.79095,4168.0,0.05456,5.0,0.61068
2019-09-30,0.12537,0.02966,0.27275,0.921,3.22729,11.51083,4608.0,0.06244,5.0,0.60584
2019-12-31,0.09679,0.02364,0.22519,0.75672,3.09427,13.57878,2350.0,0.03148,5.0,0.47666
2020-03-31,0.13991,0.02952,0.32264,0.8715,3.73999,12.78449,957.0,0.01183,5.0,0.647
2020-06-30,0.09271,0.01879,0.24881,1.09397,3.93455,14.70999,2655.0,0.0322,4.0,0.4142
2020-09-30,0.0855,0.01787,0.20076,1.13086,3.78362,12.85203,3742.0,0.04473,4.0,0.40433
2020-12-31,0.06841,0.01668,0.16909,1.31772,3.10148,12.36525,4862.0,0.06451,4.0,0.3386
2021-03-31,0.10053,0.02495,0.24889,1.33034,3.02978,11.21373,2014.0,0.02572,5.0,0.52124
2021-06-30,0.10888,0.02928,0.26074,1.46944,2.71857,9.04413,5115.0,0.06634,7.0,0.61219
2021-09-30,0.10239,0.02727,0.24607,1.51595,2.75444,8.76166,4477.0,0.0582,7.0,0.57226
2021-12-31,0.0971,0.02558,0.25507,1.13008,2.79541,14.97069,2841.0,0.03594,6.0,0.55712
2022-03-31,0.10361,0.02956,0.26508,1.17933,2.50449,8.92572,1725.0,0.02158,5.0,0.6436
2022-06-30,0.07681,0.02045,0.16821,1.12712,2.75636,11.37139,3336.0,0.04289,5.0,0.43975
2022-09-30,0.11561,0.03055,0.25536,1.12594,2.78421,7.76642,4408.0,0.05865,6.0,0.65227
2022-12-31,0.07864,0.02189,0.20059,1.14536,2.59185,11.55248,2801.0,0.03695,7.0,0.46927
2023-03-31,0.11564,0.0319,0.28297,1.15083,2.62528,7.69368,1461.0,0.01819,6.0,0.71822
2023-06-30,0.09244,0.02587,0.21275,1.14414,2.57346,9.66853,3840.0,0.0478,9.0,0.5889
2023-09-30,0.11091,0.03164,0.25826,1.14167,2.50584,6.94831,4523.0,0.05713,9.0,0.71392
2023-12-31,0.0718,0.02019,0.18186,1.13411,2.55542,11.16392,2240.0,0.02777,7.0,0.45703
2024-03-31,0.11368,0.03196,0.28115,1.039,2.55657,10.66625,-111.0,-0.00141,7.0,0.73712
2024-06-30,0.08796,0.02382,0.19502,1.07983,2.69202,8.55705,2974.0,0.03829,5.0,0.55953
2024-09-30,0.10116,0.0268,0.24026,1.06017,2.77445,10.11519,-2008.0,-0.0248,2.0,0.66064
2024-12-31,0.08323,0.02183,0.19014,1.02962,2.81272,10.03384,4391.0,0.0567,7.0,0.50975
2025-03-31,0.11998,0.03274,0.29922,1.09955,2.66491,8.99745,-4174.0,-0.04999,5.0,0.77406
