date,ROE_Adj,ROA_Adj,Net_Profit_Margin,Current_Ratio,Debt_to_Equity,Net_Debt_EBITDA,Free_Cash_Flow,Cash_ROIC,Piotroski_F,EPS
2018-06-30,-0.25573,0.04575,0.27948,1.46638,-6.59022,11.1736,2212.1,0.07366,5.0,1.91833
2018-09-30,-0.24104,0.04808,0.30493,1.53117,-6.01335,10.49868,3135.3,0.10304,6.0,2.11866
2018-12-31,-0.22614,0.04313,0.2623,1.36311,-6.24275,12.70099,1732.599999,0.05807,6.0,1.8402
2019-03-31,-0.20278,0.02859,0.26806,1.46893,-8.09316,12.30713,2781.6,0.06456,6.0,1.7367
2019-06-30,-0.22279,0.03283,0.28399,1.20846,-7.78531,11.79545,2226.5,0.05183,6.0,1.99121
2019-09-30,-0.18698,0.0351,0.29222,0.84313,-6.32666,11.22075,3069.3,0.07391,6.0,2.12517
2019-12-31,-0.19149,0.03309,0.28964,0.98257,-6.78673,12.29721,2659.0,0.0605,5.0,2.09879
2020-03-31,-0.11911,0.02189,0.23479,1.895,-6.44128,15.96898,1770.000001,0.03712,6.0,1.48617
2020-06-30,-0.05112,0.00969,0.12862,0.91213,-6.27722,25.60319,-5.7,-0.00012,4.0,0.65044
2020-09-30,-0.20805,0.03477,0.32532,1.07259,-6.98427,11.51134,3856.6,0.08187,7.0,2.36749
2020-12-31,-0.176,0.02617,0.25917,1.01003,-7.72556,13.03747,3011.7,0.06186,6.0,1.84785
2021-03-31,-0.21245,0.03008,0.29996,1.19392,-8.06283,11.95653,3042.799999,0.06416,7.0,2.06114
2021-06-30,-0.38211,0.04277,0.37693,1.44892,-9.93476,10.26255,2257.1,0.04658,7.0,2.97254
2021-09-30,-0.37884,0.04077,0.34669,1.33368,-10.2911,8.91923,3711.0,0.0771,8.0,2.87766
2021-12-31,-0.35618,0.03043,0.27272,1.77823,-12.70491,5.881,5457.6,0.10951,8.0,2.18658
2022-03-31,-0.18435,0.02171,0.19493,1.09961,-9.49264,11.33585,3322.7,0.07124,6.0,1.48281
2022-06-30,-0.18651,0.02412,0.20775,1.41355,-8.73145,15.04324,795.2,0.01737,,1.60639
2022-09-30,-0.30179,0.04086,0.33746,1.64677,-8.38656,9.92039,3454.3,0.07674,,2.68692
2022-12-31,-0.31699,0.03773,0.32113,1.42663,-9.40117,10.93812,2468.3,0.05293,,2.6279
2023-03-31,-0.31198,0.03464,0.30553,1.47008,-10.00511,11.05518,3121.0,0.06514,8.0,2.46839
2023-06-30,-0.46248,0.04583,0.35586,1.34616,-11.09022,9.47581,2550.0,0.05452,,3.16672
2023-09-30,-0.47726,0.04448,0.34623,1.71134,-11.72944,9.11449,4133.0,0.08595,,3.17936
2023-12-31,-0.43349,0.03633,0.31835,1.16431,-12.93115,10.53515,3261.0,0.06335,,2.82114
2024-03-31,-0.39921,0.03605,0.31269,0.8305,-12.07471,11.25732,3245.0,0.06591,7.0,2.67175
2024-06-30,-0.41936,0.0376,0.31171,1.07545,-12.15278,11.0263,2628.0,0.05267,3.0,2.80194
2024-09-30,-0.43597,0.04018,0.32834,0.77854,-11.85049,10.30763,3226.0,0.06393,5.0,3156643.35664
2024-12-31,-0.53135,0.03655,0.31575,1.19088,-15.53741,10.91146,3383.0,0.06592,6.0,2820979.02098
2025-03-31,-0.54053,0.03314,0.31352,1.18164,-17.30834,11.89991,3167.0,0.06044,5.0,2611188.81119
