date,ROE_Adj,ROA_Adj,Net_Profit_Margin,Current_Ratio,Debt_to_Equity,Net_Debt_EBITDA,Free_Cash_Flow,Cash_ROIC,Piotroski_F,EPS
2018-06-30,0.2266,0.06425,0.22133,1.56032,2.52685,4.98154,2350.0,0.07556,8.0,3.14001
2018-09-30,0.14965,0.0414,0.18928,1.96551,2.61507,4.77562,2660.0,0.08513,5.0,2.6349
2018-12-31,0.13851,0.03737,0.16954,1.89246,2.70634,5.32943,2552.0,0.08376,7.0,2.31921
2019-03-31,0.09214,0.02297,0.11332,2.0174,3.01148,8.57818,996.0,0.03036,6.0,1.54286
2019-06-30,0.11112,0.02892,0.13793,1.93407,2.84234,6.16843,1868.0,0.05731,5.0,1.95084
2019-09-30,0.15691,0.03969,0.1981,2.30405,2.95299,5.11296,2503.0,0.06822,5.0,2.74588
2019-12-31,0.09046,0.02051,0.11293,1.40653,3.41033,9.98993,2500.0,0.06539,4.0,1.58945
2020-03-31,0.12832,0.02835,0.16198,1.65207,3.52659,8.57592,1332.0,0.03303,5.0,2.26768
2020-06-30,0.15511,0.03756,0.182,1.93711,3.13,8.83252,2215.0,0.05639,6.0,2.26343
2020-09-30,0.11974,0.0315,0.17126,1.90418,2.80055,6.29163,3013.0,0.07696,6.0,2.4749
2020-12-31,0.10865,0.02968,0.1637,1.885,2.66128,5.86153,2956.0,0.07353,7.0,2.42744
2021-03-31,0.11744,0.03442,0.18348,1.83487,2.41192,5.31785,1949.0,0.0485,7.0,2.79759
2021-06-30,0.10499,0.03155,0.17028,1.73125,2.32785,5.21817,2230.0,0.05459,7.0,2.62532
2021-09-30,0.09869,0.0297,0.16037,1.70483,2.32264,5.49117,2401.0,0.05912,5.0,2.47412
2021-12-31,0.08858,0.02845,0.15548,1.70481,2.11385,5.93406,1686.0,0.04285,4.0,2.31021
2022-03-31,0.08658,0.02833,0.14713,1.57911,2.05619,6.34238,1196.0,0.031,5.0,2.25952
2022-06-30,0.00565,0.00171,0.00896,1.46665,2.30298,23.23776,1101.0,0.02898,,0.1366
2022-09-30,0.46503,0.14256,0.44773,1.56083,2.26194,6.43783,1650.0,0.04287,,6.78446
2022-12-31,0.01828,0.00581,49.18182,1.54237,2.14523,-14.92689,-1377.0,-0.03543,,0.98489
2023-03-31,0.06358,0.02082,0.12153,1.41749,2.05426,7.0246,1462.0,0.03716,5.0,1.76588
2023-06-30,-0.87069,-0.13995,-1.08881,1.44056,5.2212,-1.31025,-1467.0,-0.0358,,-12.3506
2023-09-30,-0.43099,-0.04109,-0.33094,1.04733,9.48848,-4.15864,659.0,0.01767,,-3.74346
2023-12-31,0.19412,0.01868,0.15745,1.07073,9.3903,7.13788,1981.0,0.05182,,1.70362
2024-03-31,0.18812,0.0168,0.15426,1.64282,10.19866,6.61305,1427.0,0.03326,3.0,1.67207
2024-06-30,0.28711,0.0264,0.18305,1.3604,9.87688,1.74507,-597.0,-0.01968,5.0,2.06753
2024-09-30,0.29229,0.03357,0.21799,1.43087,7.70793,3.62485,-1988.0,-0.0634,6.0,2.49183
2024-12-31,0.18695,0.01826,0.12113,1.41116,9.23832,3.77825,1804.0,0.05909,7.0,1.33873
2025-03-31,0.24674,0.02793,0.18744,1.65665,7.83285,4.20052,1330.0,0.042,6.0,2.05223
