date,ROE_Adj,ROA_Adj,Net_Profit_Margin,Current_Ratio,Debt_to_Equity,Net_Debt_EBITDA,Free_Cash_Flow,Cash_ROIC,Piotroski_F,EPS
2018-06-30,0.04514,0.01739,0.16312,1.32745,1.59537,4.50859,3478.0,0.04948,5.0,0.60709
2018-09-30,0.05448,0.0209,0.18066,1.44388,1.60687,3.57235,3019.0,0.04301,8.0,0.69898
2018-12-31,0.06283,0.02044,0.16612,1.16523,2.07406,4.11705,4325.0,0.06579,8.0,0.66641
2019-03-31,0.09982,0.03354,0.26951,1.36715,1.97629,3.97074,981.0,0.01464,6.0,1.07601
2019-06-30,0.09413,0.0311,0.22704,1.20976,2.02718,4.39675,3821.0,0.05644,7.0,0.98979
2019-09-30,0.06199,0.02003,0.15334,1.26388,2.09493,5.22405,2849.0,0.04313,6.0,0.70912
2019-12-31,0.08361,0.02576,0.56785,1.23686,2.24591,-16.5756,-294.0,-0.00447,5.0,0.88403
2020-03-31,0.11966,0.03706,0.26698,1.11459,2.22863,4.2828,769.0,0.01134,7.0,1.21262
2020-06-30,0.10525,0.03222,0.32097,1.32307,2.26611,5.79625,2794.0,0.03819,5.0,1.13356
2020-09-30,0.09662,0.03149,0.2691,1.30247,2.06799,6.45293,877.0,0.01221,6.0,1.10965
2020-12-31,-0.09463,-0.02625,-0.19127,1.01599,2.60526,-14.7919,-2084.0,-0.02948,4.0,-0.78945
2021-03-31,0.10659,0.03172,0.29914,1.02079,2.35985,6.52298,685.0,0.00955,3.0,1.1985
2021-06-30,0.04382,0.01613,0.1355,1.30855,1.71619,7.40347,478.0,0.00671,7.0,0.64094
2021-09-30,0.12436,0.0477,0.34719,1.30892,1.60698,2.89071,5066.0,0.06911,9.0,1.80514
2021-12-31,0.09368,0.03391,0.27794,1.26785,1.76274,5.45506,5174.0,0.06142,8.0,1.48714
2022-03-31,0.10395,0.03991,0.27105,1.39738,1.60464,3.39158,5013.0,0.05859,7.0,1.70491
2022-06-30,0.08777,0.0355,0.27027,1.38622,1.4723,3.58618,4015.0,0.0462,6.0,1.55828
2022-09-30,0.07084,0.02945,0.21713,1.4593,1.40502,3.7848,4532.0,0.05269,5.0,1.28227
2022-12-31,0.06444,0.02719,0.21815,1.47374,1.37006,3.99612,4851.0,0.05584,6.0,1.18967
2023-03-31,0.05871,0.02555,0.19473,1.44404,1.29818,4.24411,1725.0,0.01975,5.0,1.11151
2023-06-30,-0.15812,-0.05864,-0.39741,1.2814,1.69653,-7.43076,-6073.0,-0.07237,4.0,-2.35329
2023-09-30,0.11184,0.04328,0.29727,1.38365,1.58419,3.78827,9031.0,0.10685,5.0,1.86994
2023-12-31,-0.03935,-0.01388,-0.0838,1.25197,1.83446,-37.33244,-100.0,-0.00121,4.0,-0.48392
2024-03-31,0.11476,0.04383,0.30187,1.25284,1.61847,4.24081,3404.0,0.04061,6.0,1.87998
2024-06-30,0.12314,0.04772,0.33857,1.46604,1.58042,3.64105,6002.0,0.06696,8.0,2.15272
2024-09-30,0.06959,0.02638,0.18953,1.36419,1.63761,4.5528,7198.0,0.07902,6.0,1.24586
2024-12-31,0.07962,0.03153,0.23957,1.14965,1.52536,4.22399,4595.0,0.05031,8.0,1.4812
2025-03-31,0.10351,0.04352,0.32707,1.16418,1.37855,3.6407,2814.0,0.03082,5.0,2.01308
