date,ROE_Adj,ROA_Adj,Net_Profit_Margin,Current_Ratio,Debt_to_Equity,Net_Debt_EBITDA,Free_Cash_Flow,Cash_ROIC,Piotroski_F,EPS
2018-06-30,0.02488,0.00943,0.19538,0.60057,1.63989,16.30844,669.0,0.00746,5.0,0.42188
2018-09-30,0.02949,0.01117,0.22793,0.67271,1.64082,15.04038,568.0,0.00622,6.0,0.53213
2018-12-31,0.00517,0.00189,0.09346,0.37087,1.73757,14.08601,670.0,0.00729,6.0,0.21396
2019-03-31,0.02297,0.00799,0.16622,0.29696,1.87592,17.44507,437.0,0.00507,4.0,0.35543
2019-06-30,0.03419,0.0119,0.24799,0.30807,1.87193,13.60429,1837.0,0.01968,6.0,0.64418
2019-09-30,0.02326,0.00819,0.15775,0.33229,1.83852,13.99446,1907.0,0.01976,5.0,0.45601
2019-12-31,0.02684,0.00954,0.21251,0.53476,1.81241,22.74269,659.0,0.00605,5.0,0.49857
2020-03-31,0.00411,0.0014,0.09126,0.7175,1.93428,15.5076,685.0,0.00614,5.0,0.2151
2020-06-30,0.03683,0.01264,0.30328,0.61815,1.9132,21.01292,308.0,0.00271,5.0,0.65091
2020-09-30,0.03273,0.01094,0.25684,0.57447,1.99292,20.26017,1747.0,0.01504,5.0,0.62717
2020-12-31,0.02035,0.00537,-0.00114,0.47448,2.78806,30.68975,-2000.0,-0.01691,3.0,-0.00255
2021-03-31,0.04004,0.01383,0.44713,0.52189,1.89615,36.47151,-133.0,-0.00108,4.0,0.84931
2021-06-30,0.00975,0.00326,0.06519,0.47931,1.99271,35.00534,-586.0,-0.00473,3.0,0.13051
2021-09-30,0.01234,0.00397,0.10229,0.46793,2.11146,34.24123,-57.0,-0.00045,3.0,0.22647
2021-12-31,0.0328,0.01063,0.2386,0.53266,2.08551,23.95579,-158.0,-0.00124,6.0,0.61
2022-03-31,-0.01339,-0.00303,-0.15606,0.49003,3.42081,669.14943,-3031.0,-0.02309,2.0,-0.2285
2022-06-30,0.03468,0.0076,0.26626,0.53436,3.5652,28.84656,1100.0,0.00814,7.0,0.69917
2022-09-30,0.03994,0.01194,0.25242,0.46382,2.34593,20.91174,1496.0,0.01078,6.0,0.85927
2022-12-31,0.04086,0.01271,0.24692,0.50534,2.21496,21.91802,-22.0,-0.00015,6.0,0.78914
2023-03-31,0.04275,0.0137,0.3106,0.53391,2.12118,18.15348,1188.0,0.00784,7.0,1.06293
2023-06-30,0.05495,0.01776,0.38032,0.5276,2.09466,16.4713,2252.0,0.01457,6.0,1.38132
2023-09-30,0.02231,0.00735,0.16997,0.49986,2.03483,18.95246,652.0,0.00414,6.0,0.6
2023-12-31,0.032,0.01064,0.17592,0.54933,2.00706,18.20837,1868.0,0.01158,6.0,0.57983
2024-03-31,0.04316,0.01424,0.39574,0.51123,2.03002,27.44304,774.0,0.00457,3.0,1.10553
2024-06-30,0.03003,0.00966,0.26726,0.48809,2.10795,26.58426,1177.0,0.00682,3.0,0.79026
2024-09-30,0.03877,0.01241,0.24475,0.41083,2.12427,18.86665,2898.0,0.01675,5.0,0.90187
2024-12-31,0.02205,0.00706,0.2234,0.47135,2.12423,33.40744,125.0,0.00072,4.0,0.58566
2025-03-31,0.01498,0.00465,0.13334,0.55326,2.2181,26.32247,456.0,0.00252,6.0,0.40525
