date,ROE_Adj,ROA_Adj,Net_Profit_Margin,Current_Ratio,Debt_to_Equity,Net_Debt_EBITDA,Free_Cash_Flow,Cash_ROIC,Piotroski_F,EPS
2018-06-30,0.07017,0.03915,0.10574,3.05463,0.7926,2.5223,932.403,0.06317,8.0,2.14513
2018-09-30,0.05569,0.03155,0.10036,3.15,0.7655,1.90391,1226.367,0.08064,8.0,2.14191
2018-12-31,0.0634,0.03609,0.10273,3.07746,0.75658,2.67409,604.956,0.03987,7.0,2.08887
2019-03-31,0.04778,0.02774,0.08231,3.36849,0.72211,3.0223,662.447,0.04249,8.0,1.63676
2019-06-30,0.03613,0.02132,0.06555,3.55703,0.69438,3.7423,371.949,0.02353,6.0,1.26524
2019-09-30,0.02532,0.01486,0.05033,3.3582,0.70391,4.108,784.24,0.04902,6.0,0.90282
2019-12-31,0.00379,0.00223,0.02101,3.33893,0.69997,5.48034,273.346,0.01711,6.0,0.35529
2020-03-31,-0.02525,-0.01497,0.00361,3.53707,0.6861,4.35962,-7.923,-0.0005,5.0,0.06712
2020-06-30,0.00978,0.00554,0.02516,4.3943,0.76646,5.42738,822.971,0.04871,5.0,0.35944
2020-09-30,0.01743,0.00957,0.03925,3.77781,0.82133,4.21355,563.281,0.03271,5.0,0.6375
2020-12-31,0.00754,0.00421,0.07582,3.61079,0.79181,3.01179,-278.73,-0.01587,7.0,1.31437
2021-03-31,0.07889,0.0442,0.1343,3.50423,0.78494,1.61634,801.0,0.04384,6.0,3.12223
2021-06-30,0.11507,0.0636,0.17145,3.10724,0.8093,0.99009,1826.663,0.095,7.0,4.99217
2021-09-30,0.15252,0.08528,0.20631,2.52706,0.78846,1.17988,2477.028,0.11869,7.0,7.32416
2021-12-31,0.15333,0.08671,0.21713,2.48178,0.76824,0.94008,3691.687,0.1726,8.0,7.74644
2022-03-31,0.12982,0.07319,0.19971,2.8792,0.77369,0.83782,3407.751,0.14073,8.0,7.47233
2022-06-30,0.14346,0.08088,0.21716,2.61864,0.77386,1.31585,3302.133,0.12213,7.0,9.43142
2022-09-30,0.09003,0.05284,0.16139,3.09935,0.70376,1.24055,3392.83,0.12322,5.0,6.4385
2022-12-31,0.05894,0.03551,0.14391,3.41176,0.65965,0.93446,2408.286,0.08532,4.0,3.6199
2023-03-31,0.05703,0.03525,0.13049,3.73802,0.61799,1.08735,1408.607,0.04948,6.0,4.48149
2023-06-30,0.06978,0.04378,0.15345,3.81864,0.594,0.55604,2280.099,0.07746,6.0,5.84205
2023-09-30,0.05307,0.03331,0.13008,3.72304,0.59318,-0.02061,2631.32,0.08758,6.0,4.59351
2023-12-31,0.03551,0.02223,0.10196,3.56692,0.59743,-0.21325,1097.974,0.03549,6.0,3.18267
2024-03-31,0.03889,0.0249,0.10385,4.01613,0.56187,0.87852,300.0,0.00984,5.0,3.47596
2024-06-30,0.02963,0.01887,0.07988,2.9306,0.57011,1.19684,1034.777,0.03386,5.0,2.69312
2024-09-30,0.00589,0.0037,0.03357,2.59187,0.59331,2.40885,627.59,0.02066,5.0,1.05687
2024-12-31,0.01341,0.00846,0.04057,2.50653,0.58472,3.77302,-58.681,-0.00194,5.0,1.22632
2025-03-31,0.00601,0.00366,0.01992,2.52224,0.64333,5.51879,-344.0,-0.01116,5.0,0.67039
