date,ROE_Adj,ROA_Adj,Net_Profit_Margin,Current_Ratio,Debt_to_Equity,Net_Debt_EBITDA,Free_Cash_Flow,Cash_ROIC,Piotroski_F,EPS
2018-06-30,-0.15579,-0.02942,-0.17928,0.73291,4.29631,-286.74914,-863.198,-0.04136,2.0,-0.28139
2018-09-30,0.04872,0.00975,0.04565,0.81025,3.99687,9.31416,753.966,0.03492,7.0,0.12152
2018-12-31,0.02125,0.00451,0.01932,0.83128,3.7104,9.04876,998.431,0.04474,8.0,0.05408
2019-03-31,-0.12349,-0.02579,-0.15461,0.83068,3.7885,-862.05064,-969.204,-0.04534,4.0,-0.27059
2019-06-30,-0.07352,-0.01649,-0.06431,1.06186,3.45742,15.27223,567.164,0.02356,5.0,-0.1541
2019-09-30,0.01911,0.00436,0.02269,1.07826,3.38319,10.10923,216.871,0.00879,4.0,0.05326
2019-12-31,0.01443,0.00341,0.01422,1.13462,3.23046,7.73918,743.0,0.02922,4.0,0.03903
2020-03-31,0.00149,0.00043,0.00267,1.24253,2.47093,6.94139,-1090.0,-0.03827,6.0,0.00583
2020-06-30,0.00914,0.00273,0.01723,1.24988,2.35076,6.12975,103.0,0.00349,7.0,0.03728
2020-09-30,0.01886,0.00724,0.03774,1.63464,1.60377,-0.60732,1828.0,0.05147,8.0,0.11775
2020-12-31,0.01138,0.00518,0.02513,1.87514,1.19756,-6.45096,1781.0,0.04449,8.0,0.09474
2021-03-31,0.02203,0.01018,0.04216,1.66062,1.16522,-5.62747,237.0,0.00594,8.0,0.15193
2021-06-30,0.04263,0.02029,0.0955,1.50834,1.1008,-3.3869,782.0,0.0194,8.0,0.39612
2021-09-30,0.05499,0.02709,0.11761,1.38508,1.02969,-2.81996,1823.0,0.04393,7.0,0.55544
2021-12-31,0.07349,0.03736,0.13099,1.37529,0.96723,-3.14158,1417.0,0.03219,8.0,0.77522
2022-03-31,0.09371,0.05024,0.1769,1.354,0.86516,-2.94468,2908.0,0.06289,7.0,1.08966
2022-06-30,0.05622,0.0309,0.1334,1.43082,0.81935,-4.10573,990.0,0.02053,7.0,0.72613
2022-09-30,0.08005,0.04423,0.15344,1.46235,0.80979,-3.77993,3718.0,0.07252,7.0,1.04641
2022-12-31,0.07959,0.04437,0.15162,1.53196,0.79393,-3.87612,1781.0,0.03117,7.0,1.45731
2023-03-31,0.05104,0.02894,0.10772,1.56717,0.76364,-5.31698,1098.0,0.01806,5.0,0.79375
2023-06-30,0.0518,0.02984,0.10844,1.59013,0.73606,-5.83845,1575.0,0.02443,6.0,0.85241
2023-09-30,0.034,0.01973,0.07936,1.69017,0.72385,-7.23041,876.0,0.01265,5.0,0.58344
2023-12-31,0.12464,0.07436,0.31502,1.72589,0.67615,-7.24029,-4187.0,-0.05218,4.0,2.49073
2024-03-31,0.02133,0.01273,0.06526,1.71578,0.67576,-8.89657,-2526.0,-0.03072,3.0,0.43628
2024-06-30,0.01273,0.00759,0.05796,1.91053,0.67747,-6.55492,1801.0,0.02061,4.0,0.46318
2024-09-30,0.02987,0.01762,0.08605,1.84384,0.69498,-6.29903,2815.0,0.03074,5.0,0.67761
2024-12-31,0.03135,0.01892,0.09013,2.02491,0.65676,-9.18665,2278.0,0.0238,4.0,0.72113
2025-03-31,0.00418,0.00252,0.02115,1.99607,0.6589,-15.18918,139.0,0.00142,4.0,0.1271
