date,open,high,low,close,volume,weekday,day,month,sma_14,ema_14,macd,adx,rsi,stoch,roc,obv,mfi,bb_bbm,bb_bbh,bb_bbl,atr,ret1,mov1
2005-04-04,7.1444,7.19904,7.08483,7.1953,10532230.745944,0,4,4,7.106527142857142,7.108305546087108,-0.004617657084487803,0.0,55.827276755864524,64.07461748061199,0.5462388610731078,-14007555.324457385,44.83095054170231,7.131789500000001,7.325420077902873,6.938158922097129,0.12922492997508817,-0.0016287769902686908,0
2005-04-05,7.1953,7.23989,7.16733,7.18359,8836951.3060349,1,5,4,7.100824285714286,7.118343473275493,0.0017712294530101147,0.0,54.92145838962074,66.09338818821513,-0.3671259323778257,-22844506.630492285,42.52633617081558,7.126936499999999,7.309975738774094,6.943897261225905,0.1251774349768676,-0.0010431981023624908,0
2005-04-06,7.22296,7.23615,7.16733,7.1761,5302602.0521569,2,6,4,7.102245000000001,7.126044343505427,0.006159089509989002,10.806831660198599,54.314415474683805,69.97020465979585,-0.12748320867999907,-28147108.682649184,44.66400783975065,7.1229145,7.297736276386696,6.948092723613304,0.12115190390709138,0.003996962404656652,1
2005-04-07,7.20071,7.26343,7.18703,7.20484,6899011.7074321,3,7,4,7.101872142857142,7.136550431038037,0.011819332124318294,10.850537370370706,56.30990719572167,81.9955261925817,1.0507831784928814,-21248096.975217085,42.025908730924435,7.128014,7.306116427204124,6.949911572795877,0.1187360536280134,-0.0034619959248222247,0
2005-04-08,7.23093,7.23615,7.16015,7.17994,5539675.8308513,4,8,4,7.1014921428571425,7.142335706899632,0.014132977111335876,10.590205891030635,54.10492634943616,77.666318915015,2.3608778587864347,-26787772.806068383,48.37361951077474,7.129515499999999,7.308833183174303,6.950197816825695,0.11568347836886962,0.014726804893228296,1
2005-04-11,7.18526,7.30803,7.17797,7.28646,6755224.3804891,0,11,4,7.112673571428571,7.161552279313015,0.024281924299325297,10.999322084104886,61.119049367803186,94.845015892742,4.254177558580247,-20032548.425579283,54.924659648832794,7.1385875,7.329982212766576,6.947192787233424,0.11671037277109318,0.008999438418942326,1
2005-04-12,7.28942,7.37733,7.21755,7.35233,10518156.115463,1,12,4,7.136815714285715,7.186989308737947,0.037211248457444945,11.93223708196694,64.7106808967262,94.87421319172503,4.577774806592426,-9514392.310116284,62.93413475716864,7.143732,7.351591540228492,6.935872459771508,0.11978677471601507,-0.007015532491148804,0
2005-04-13,7.33127,7.39722,7.27248,7.30093,7812931.2868119,2,13,4,7.159087142857143,7.202181400906221,0.04281671612027349,12.949321685551286,60.04921636858742,80.48241613459008,3.9049035444136857,-17327323.596928183,72.6226544445528,7.145607000000001,7.358370356722911,6.932843643277091,0.120140576522014,-0.01298920082443144,0
2005-04-14,7.30093,7.31541,7.20671,7.20671,7384343.197579,3,14,4,7.171674285714286,7.202785214118725,0.03920439914818541,13.08188249853998,52.57312091985934,61.38441268876053,4.117780484245904,-24711666.794507183,66.11646542696755,7.1481319999999995,7.362531099960798,6.933732900039201,0.11932339248472727,-0.01352013799748802,0
2005-04-15,7.208,7.24512,7.10993,7.10993,10422115.070519,4,15,4,7.177630000000001,7.190404518902895,0.028207120618508164,12.180554818471562,46.20922099516022,41.7675078544644,0.4687173226165666,-35133781.86502618,57.582937244662055,7.143125499999999,7.356178491105499,6.930072508894499,0.12045672159296102,0.0150231616591112,1
2005-04-18,7.10993,7.24176,7.07863,7.21755,10963617.103704,0,18,4,7.1987628571428575,7.194023916382509,0.027854641763420673,11.576629025844086,53.019559794680006,60.947247158041215,0.9752596588619739,-24170164.761322185,66.93636149337092,7.1447400000000005,7.359528008510718,6.929951991489283,0.1235048129077495,0.009908421675425707,1
2005-04-19,7.21755,7.32358,7.18359,7.28942,8134245.6444811,1,19,4,7.213952857142857,7.206743394198175,0.032994270674524095,11.26191579699703,56.94032612976397,66.16340751436006,2.0298415542242836,-16035919.116841085,66.7394274229234,7.152715000000001,7.376371030770468,6.9290589692295335,0.1246823262714817,-0.0028671599538949736,0
